Species,Sample,Number of cells
Euphorbia bracteata,845,49
Euphorbia bracteata,845,19
Euphorbia bracteata,845,164
Euphorbia bracteata,845,145
Euphorbia bracteata,845,83
Euphorbia bracteata,845,65
Euphorbia bracteata,845,33
Euphorbia bracteata,845,74
Euphorbia bracteata,845,90
Euphorbia bracteata,845,66
Euphorbia bracteata,845,17
Euphorbia bracteata,845,125
Euphorbia bracteata,845,41
Euphorbia bracteata,845,10
Euphorbia bracteata,845,171
Euphorbia bracteata,845,88
Euphorbia bracteata,845,56
Euphorbia bracteata,845,8
Euphorbia bracteata,845,26
Euphorbia bracteata,845,111
Euphorbia bracteata,845,35
Euphorbia bracteata,845,67
Euphorbia bracteata,845,75
Euphorbia bracteata,845,54
Euphorbia bracteata,845,151
Euphorbia bracteata,845,43
Euphorbia bracteata,845,96
Euphorbia bracteata,845,54
Euphorbia bracteata,845,150
Euphorbia bracteata,845,121
Euphorbia bracteata,845,93
Euphorbia bracteata,845,75
Euphorbia bracteata,845,148
Euphorbia bracteata,845,157
Euphorbia bracteata,845,93
Euphorbia bracteata,845,77
Euphorbia bracteata,845,155
Euphorbia bracteata,845,79
Euphorbia bracteata,845,4
Euphorbia bracteata,845,59
Euphorbia bracteata,845,159
Euphorbia bracteata,845,32
Euphorbia bracteata,845,21
Euphorbia bracteata,845,56
Euphorbia bracteata,845,154
Euphorbia bracteata,845,133
Euphorbia bracteata,845,60
Euphorbia bracteata,845,55
Euphorbia bracteata,845,144
Euphorbia bracteata,845,99
Euphorbia bracteata,845,141
Euphorbia bracteata,845,124
Euphorbia bracteata,845,78
Euphorbia bracteata,845,153
Euphorbia bracteata,845,6
Euphorbia bracteata,845,120
Euphorbia bracteata,845,51
Euphorbia bracteata,845,123
Euphorbia bracteata,845,33
Euphorbia bracteata,845,67
Euphorbia bracteata,845,65
Euphorbia bracteata,845,152
Euphorbia bracteata,845,22
Euphorbia bracteata,845,172
Euphorbia bracteata,845,64
Euphorbia bracteata,845,67
Euphorbia bracteata,845,95
Euphorbia bracteata,845,177
Euphorbia bracteata,845,76
Euphorbia bracteata,845,163
Euphorbia bracteata,845,10
Euphorbia bracteata,845,55
Euphorbia bracteata,845,27
Euphorbia bracteata,845,127
Euphorbia bracteata,845,68
Euphorbia bracteata,845,173
Euphorbia bracteata,845,174
Euphorbia bracteata,845,173
Euphorbia bracteata,845,76
Euphorbia bracteata,845,172
Euphorbia bracteata,845,115
Euphorbia bracteata,845,151
Euphorbia bracteata,845,86
Euphorbia bracteata,845,79
Euphorbia bracteata,845,189
Euphorbia bracteata,845,65
Euphorbia bracteata,845,87
Euphorbia bracteata,845,187
Euphorbia bracteata,845,95
Euphorbia bracteata,845,85
Euphorbia bracteata,845,127
Euphorbia bracteata,845,105
Euphorbia bracteata,845,90
Euphorbia bracteata,845,29
Euphorbia bracteata,845,12
Euphorbia bracteata,845,159
Euphorbia bracteata,845,53
Euphorbia bracteata,845,139
Euphorbia bracteata,845,64
Euphorbia bracteata,845,47
Euphorbia bracteata,845,29
Euphorbia bracteata,845,174
Euphorbia bracteata,845,147
Euphorbia bracteata,845,92
Euphorbia bracteata,845,22
Euphorbia bracteata,845,160
Euphorbia bracteata,845,1
Euphorbia bracteata,845,75
Euphorbia bracteata,845,88
Euphorbia bracteata,845,151
Euphorbia bracteata,845,17
Euphorbia bracteata,845,117
Euphorbia bracteata,845,18
Euphorbia bracteata,845,96
Euphorbia bracteata,845,49
Euphorbia bracteata,845,123
Euphorbia bracteata,845,184
Euphorbia bracteata,845,61
Euphorbia bracteata,845,111
Euphorbia bracteata,845,163
Euphorbia bracteata,845,121
Euphorbia bracteata,845,87
Euphorbia bracteata,845,97
Euphorbia bracteata,845,166
Euphorbia bracteata,845,51
Euphorbia bracteata,845,147
Euphorbia bracteata,845,109
Euphorbia bracteata,845,77
Euphorbia bracteata,845,180
Euphorbia bracteata,845,101
Euphorbia bracteata,845,144
Euphorbia bracteata,845,144
Euphorbia bracteata,845,96
Euphorbia bracteata,845,181
Euphorbia bracteata,845,42
Euphorbia bracteata,845,54
Euphorbia bracteata,845,180
Euphorbia bracteata,845,29
Euphorbia bracteata,845,183
