Conductive-Non conductive
-0.04631927212572374 1
-0.011135747721113575 -0.3309580364212193
-0.028584392014519056 -0.9626865671641791
-0.03367003367003367 -0.8780487804878049
-0.12121212121212122 1
1 1
0.028397565922920892 1
-0.010972098103465396 -0.24881796690307328
-0.041666666666666664 1
-0.02065712426805465 1
0.03007518796992481 1
-0.013227513227513227 1
-0.009228691476590636 1
0.06153846153846154 1
-0.7916666666666666 1
-0.26 -0.4803921568627451
-0.011617749825296996 1
-0.023052464228934817 -0.125
-0.01855287569573284 1
0.025714285714285714 -0.32407407407407407
-0.14545454545454545 -0.35714285714285715
-0.006856710938343591 -0.058650519031141865
-0.017857142857142856 -0.8214285714285714
-0.009022556390977444 -0.9056603773584906
-0.375 1
-0.025252525252525252 -0.08405977584059776
-0.022988505747126436 1
-0.0193758573388203 -0.19718309859154928
-0.012654301842317474 -0.1974025974025974
-0.010378510378510378 1
-0.009668346419782023 -0.9866310160427807
-0.0043859649122807015 1
-0.01570048309178744 1
-0.031420765027322405 1
-0.007273199558412884 -0.07767476822851416
-0.10416666666666667 1
-0.06390977443609022 1
-0.0177210703526493 -0.32172470978441126
-0.012605042016806723 1
-0.013053097345132743 -0.19616858237547893
-0.008064516129032258 1
-0.020663956639566397 1
-0.041666666666666664 -0.6153846153846154
-0.16666666666666666 1
-0.04607843137254902 1
-0.01431261770244821 -0.32245301681503463
1 1
-0.004105090311986864 -0.2445945945945946
-0.00417157440125638 -0.24287749287749288
0.03007518796992481 1
-0.024675324675324677 1
-0.024634146341463416 1
0.0 1
-0.006694214876033058 -0.11844569288389513
1 1
-0.012371134020618556 -0.05746814854974248
-0.009652019304038608 -0.19869281045751633
-0.03787878787878788 1
-0.008470588235294117 -0.10561056105610561
-0.03235294117647059 -0.9637681159420289
-0.04395604395604396 -0.7368421052631579
-0.009962107321843295 -0.04970326409495549
-0.8 1
-0.020202020202020204 1
-0.010849598163030999 -0.9870466321243523
-0.017210944395410415 -0.15546218487394958
-0.009744503862150922 -0.49130434782608695
-0.044709388971684055 1
-0.013423407615371117 1
-0.13877551020408163 1
-0.010721247563352826 1
-0.010642270351008214 1
-0.03305785123966942 1
-0.03125 1
 
