Species,Sample,Number of cells
Euphorbia calcarata,892,105
Euphorbia calcarata,892,423
Euphorbia calcarata,892,229
Euphorbia calcarata,892,134
Euphorbia calcarata,892,41
Euphorbia calcarata,892,13
Euphorbia calcarata,892,126
Euphorbia calcarata,892,45
Euphorbia calcarata,892,426
Euphorbia calcarata,892,222
Euphorbia calcarata,892,240
Euphorbia calcarata,892,25
Euphorbia calcarata,892,261
Euphorbia calcarata,892,320
Euphorbia calcarata,892,17
Euphorbia calcarata,892,24
Euphorbia calcarata,892,216
Euphorbia calcarata,892,268
Euphorbia calcarata,892,90
Euphorbia calcarata,892,119
Euphorbia calcarata,892,38
Euphorbia calcarata,892,59
Euphorbia calcarata,892,356
Euphorbia calcarata,892,28
Euphorbia calcarata,892,53
Euphorbia calcarata,892,8
Euphorbia calcarata,892,92
Euphorbia calcarata,892,156
Euphorbia calcarata,892,43
Euphorbia calcarata,892,20
Euphorbia calcarata,892,359
Euphorbia calcarata,892,128
Euphorbia calcarata,892,389
Euphorbia calcarata,892,98
Euphorbia calcarata,892,204
Euphorbia calcarata,892,374
Euphorbia calcarata,892,145
Euphorbia calcarata,892,211
Euphorbia calcarata,892,118
Euphorbia calcarata,892,72
Euphorbia calcarata,892,319
Euphorbia calcarata,892,18
Euphorbia calcarata,892,44
Euphorbia calcarata,892,203
Euphorbia calcarata,892,7
Euphorbia calcarata,892,64
Euphorbia calcarata,892,55
Euphorbia calcarata,892,265
Euphorbia calcarata,892,154
Euphorbia calcarata,892,48
Euphorbia calcarata,892,146
Euphorbia calcarata,892,13
Euphorbia calcarata,892,54
Euphorbia calcarata,892,96
Euphorbia calcarata,892,339
Euphorbia calcarata,892,119
Euphorbia calcarata,892,373
Euphorbia calcarata,892,354
Euphorbia calcarata,892,25
Euphorbia calcarata,892,68
Euphorbia calcarata,892,188
Euphorbia calcarata,892,66
Euphorbia calcarata,892,49
Euphorbia calcarata,892,274
Euphorbia calcarata,892,13
Euphorbia calcarata,892,315
Euphorbia calcarata,892,157
Euphorbia calcarata,892,22
Euphorbia calcarata,892,109
Euphorbia calcarata,892,179
Euphorbia calcarata,892,19
Euphorbia calcarata,892,356
Euphorbia calcarata,892,15
Euphorbia calcarata,892,220
Euphorbia calcarata,892,123
Euphorbia calcarata,892,386
Euphorbia calcarata,892,47
Euphorbia calcarata,892,124
Euphorbia calcarata,892,231
Euphorbia calcarata,892,71
Euphorbia calcarata,892,133
Euphorbia calcarata,892,318
Euphorbia calcarata,892,53
Euphorbia calcarata,892,189
Euphorbia calcarata,892,74
Euphorbia calcarata,892,360
Euphorbia calcarata,892,137
Euphorbia calcarata,892,204
Euphorbia calcarata,892,41
