Species,Sample,Number of cells
Euphorbia coalcomanensis,883,67
Euphorbia coalcomanensis,883,71
Euphorbia coalcomanensis,883,32
Euphorbia coalcomanensis,883,275
Euphorbia coalcomanensis,883,167
Euphorbia coalcomanensis,883,104
Euphorbia coalcomanensis,883,45
Euphorbia coalcomanensis,883,181
Euphorbia coalcomanensis,883,29
Euphorbia coalcomanensis,883,189
Euphorbia coalcomanensis,883,20
Euphorbia coalcomanensis,883,53
Euphorbia coalcomanensis,883,163
Euphorbia coalcomanensis,883,201
Euphorbia coalcomanensis,883,115
Euphorbia coalcomanensis,883,23
Euphorbia coalcomanensis,883,27
Euphorbia coalcomanensis,883,111
Euphorbia coalcomanensis,883,88
Euphorbia coalcomanensis,883,214
Euphorbia coalcomanensis,883,46
Euphorbia coalcomanensis,883,156
Euphorbia coalcomanensis,883,96
Euphorbia coalcomanensis,883,398
Euphorbia coalcomanensis,883,173
Euphorbia coalcomanensis,883,192
Euphorbia coalcomanensis,883,220
Euphorbia coalcomanensis,883,143
Euphorbia coalcomanensis,883,65
Euphorbia coalcomanensis,883,86
Euphorbia coalcomanensis,883,92
Euphorbia coalcomanensis,883,15
Euphorbia coalcomanensis,883,142
Euphorbia coalcomanensis,883,230
Euphorbia coalcomanensis,883,228
Euphorbia coalcomanensis,883,50
Euphorbia coalcomanensis,883,17
Euphorbia coalcomanensis,883,111
Euphorbia coalcomanensis,883,15
Euphorbia coalcomanensis,883,20
Euphorbia coalcomanensis,883,28
Euphorbia coalcomanensis,883,30
Euphorbia coalcomanensis,883,230
Euphorbia coalcomanensis,883,169
Euphorbia coalcomanensis,883,124
Euphorbia coalcomanensis,883,185
Euphorbia coalcomanensis,883,12
Euphorbia coalcomanensis,883,29
Euphorbia coalcomanensis,883,48
Euphorbia coalcomanensis,883,139
Euphorbia coalcomanensis,883,260
Euphorbia coalcomanensis,883,10
Euphorbia coalcomanensis,883,203
Euphorbia coalcomanensis,883,175
Euphorbia coalcomanensis,883,226
Euphorbia coalcomanensis,883,98
Euphorbia coalcomanensis,883,205
Euphorbia coalcomanensis,883,22
Euphorbia coalcomanensis,883,209
Euphorbia coalcomanensis,883,36
Euphorbia coalcomanensis,883,169
Euphorbia coalcomanensis,883,112
Euphorbia coalcomanensis,883,33
Euphorbia coalcomanensis,883,59
Euphorbia coalcomanensis,883,142
Euphorbia coalcomanensis,883,161
Euphorbia coalcomanensis,883,191
Euphorbia coalcomanensis,883,81
Euphorbia coalcomanensis,883,190
Euphorbia coalcomanensis,883,132
Euphorbia coalcomanensis,883,75
Euphorbia coalcomanensis,883,156
Euphorbia coalcomanensis,883,97
Euphorbia coalcomanensis,883,156
Euphorbia coalcomanensis,883,264
Euphorbia coalcomanensis,883,42
Euphorbia coalcomanensis,883,62
Euphorbia coalcomanensis,883,179
Euphorbia coalcomanensis,883,143
Euphorbia coalcomanensis,883,65
Euphorbia coalcomanensis,883,24
Euphorbia coalcomanensis,883,231
Euphorbia coalcomanensis,883,58
Euphorbia coalcomanensis,883,121
Euphorbia coalcomanensis,883,264
Euphorbia coalcomanensis,883,78
Euphorbia coalcomanensis,883,136
Euphorbia coalcomanensis,883,228
Euphorbia coalcomanensis,883,143
Euphorbia coalcomanensis,883,179
Euphorbia coalcomanensis,883,166
Euphorbia coalcomanensis,883,101
Euphorbia coalcomanensis,883,120
Euphorbia coalcomanensis,883,122
Euphorbia coalcomanensis,883,300
Euphorbia coalcomanensis,883,120
Euphorbia coalcomanensis,883,244
Euphorbia coalcomanensis,883,90
Euphorbia coalcomanensis,883,162
Euphorbia coalcomanensis,883,24
Euphorbia coalcomanensis,883,11
Euphorbia coalcomanensis,883,124
Euphorbia coalcomanensis,883,145
Euphorbia coalcomanensis,883,161
Euphorbia coalcomanensis,883,26
Euphorbia coalcomanensis,883,190
Euphorbia coalcomanensis,883,40
Euphorbia coalcomanensis,883,147
Euphorbia coalcomanensis,883,23
Euphorbia coalcomanensis,883,123
Euphorbia coalcomanensis,883,70
Euphorbia coalcomanensis,883,164
Euphorbia coalcomanensis,883,21
Euphorbia coalcomanensis,883,141
Euphorbia coalcomanensis,883,44
Euphorbia coalcomanensis,883,16
Euphorbia coalcomanensis,883,9
Euphorbia coalcomanensis,883,237
Euphorbia coalcomanensis,883,106
Euphorbia coalcomanensis,883,46
Euphorbia coalcomanensis,883,27
Euphorbia coalcomanensis,883,179
Euphorbia coalcomanensis,883,59
Euphorbia coalcomanensis,883,100
Euphorbia coalcomanensis,883,128
Euphorbia coalcomanensis,883,219
Euphorbia coalcomanensis,883,43
Euphorbia coalcomanensis,883,108
Euphorbia coalcomanensis,883,66
Euphorbia coalcomanensis,883,251
Euphorbia coalcomanensis,883,191
Euphorbia coalcomanensis,883,128
Euphorbia coalcomanensis,883,67
Euphorbia coalcomanensis,883,32
Euphorbia coalcomanensis,883,177
Euphorbia coalcomanensis,883,27
Euphorbia coalcomanensis,883,14
Euphorbia coalcomanensis,883,12
Euphorbia coalcomanensis,883,297
Euphorbia coalcomanensis,883,110
Euphorbia coalcomanensis,883,14
Euphorbia coalcomanensis,883,217
Euphorbia coalcomanensis,883,68
Euphorbia coalcomanensis,883,38
Euphorbia coalcomanensis,883,37
Euphorbia coalcomanensis,883,70
Euphorbia coalcomanensis,883,207
Euphorbia coalcomanensis,883,136
Euphorbia coalcomanensis,883,100
Euphorbia coalcomanensis,883,79
Euphorbia coalcomanensis,883,213
Euphorbia coalcomanensis,883,293
Euphorbia coalcomanensis,883,88
Euphorbia coalcomanensis,883,44
Euphorbia coalcomanensis,883,37
Euphorbia coalcomanensis,883,35
Euphorbia coalcomanensis,883,171
Euphorbia coalcomanensis,883,180
Euphorbia coalcomanensis,883,65
Euphorbia coalcomanensis,883,290
Euphorbia coalcomanensis,883,71
Euphorbia coalcomanensis,883,86
Euphorbia coalcomanensis,883,110
Euphorbia coalcomanensis,883,28
Euphorbia coalcomanensis,883,75
Euphorbia coalcomanensis,883,88
Euphorbia coalcomanensis,883,199
Euphorbia coalcomanensis,883,45
Euphorbia coalcomanensis,883,73
Euphorbia coalcomanensis,883,162
Euphorbia coalcomanensis,883,199
Euphorbia coalcomanensis,883,31
Euphorbia coalcomanensis,883,244
Euphorbia coalcomanensis,883,59
Euphorbia coalcomanensis,883,185
Euphorbia coalcomanensis,883,172
Euphorbia coalcomanensis,883,38
