Conductive-Non conductive
-0.01147922115664051 -0.9774774774774775
-0.03466955579631636 1
-0.041857798165137614 -0.15546218487394958
0.0 1
0.0 1
-0.025012025012025013 -0.31339031339031337
-0.02834467120181406 1
-0.0034139402560455193 1
-0.03148148148148148 1
-0.005555555555555556 -0.35185185185185186
0.5 1
-0.17543859649122806 1
-0.019157088122605363 -0.4594594594594595
-0.009057971014492754 -0.9789029535864979
-0.04835164835164835 1
-0.027751497950173447 -0.48823529411764705
-0.032598714416896234 -0.4854014598540146
-0.022290209790209792 -0.12371134020618557
-0.7 1
0.1 -0.5
-0.003896540141081626 -0.12062937062937062
-0.3888888888888889 1
0.0 1
-0.0065099457504520794 1
-0.11607142857142858 1
-0.01106060606060606 -0.0733173076923077
0.0 1
-0.004098360655737705 -0.44936708860759494
-0.10526315789473684 -0.2375
0.027777777777777776 -0.8235294117647058
-0.07142857142857142 -0.925
-0.008374689826302729 -0.16149870801033592
-0.017891027378693414 -0.9664429530201343
-0.05673758865248227 1
-0.028579205225911813 1
-0.01988487702773417 -0.2175925925925926
-0.013881877839475013 -0.09119861030689057
0.012539184952978056 -0.9230769230769231
0.0 1
-0.011067193675889328 -0.98989898989899
-0.010569852941176471 1
-0.175 1
-0.00606211592758678 -0.16420664206642066
-0.4 1
-0.024475524475524476 1
-0.006775067750677507 -0.4909297052154195
0.0 1
-0.023378582202111614 1
-0.008064516129032258 -0.4803921568627451
-0.06565656565656566 1
-0.005516840882694541 1
-0.12857142857142856 1
-0.8846153846153846 1
-0.005415713196033563 -0.16429418742586002
0.12244897959183673 -0.7692307692307693
-0.008192142990132191 -0.48823529411764705
-0.01865881032547699 -0.3238482384823848
-0.006293706293706294 -0.32051282051282054
-0.034126984126984124 1
-0.05945945945945946 -0.963855421686747
-0.0785024154589372 1
-0.03085927108273477 -0.4898989898989899
-0.013465783664459162 1
-0.04285714285714286 -0.32234432234432236
-0.125 1
0.0 1
0.002380952380952381 -0.9425287356321839
-0.017857142857142856 -0.4666666666666667
0.01282051282051282 -0.2708333333333333
-0.030753968253968252 -0.17567567567567569
-0.1590909090909091 1
-0.013381742738589211 -0.492831541218638
-0.013303769401330377 -0.9514563106796117
-0.3888888888888889 1
0.0 1
-0.006145057988575385 -0.32213930348258707
-0.40625 -0.9090909090909091
0.0 1
-0.007811173374087281 1
-0.007189867817045517 -0.19478260869565217
-0.020338983050847456 -0.9315068493150684
-0.004583333333333333 -0.191
-0.02353896103896104 -0.9456521739130435
-0.04350282485875706 -0.9621212121212122
-0.06168831168831169 1
-0.0346749226006192 1
0.015769944341372914 1
-0.0723905723905724 -0.30092592592592593
0.0 1
-0.015692640692640692 -0.24484536082474226
-0.25 1
-0.02132579650565262 -0.24079754601226994
-0.07352941176470588 -0.85
0.0 1
-0.014814814814814815 -0.196742671009772
-0.011877828054298642 -0.32945736434108525
-0.019017980636237896 -0.24816849816849818
-0.06060606060606061 -0.18591549295774648
0.0 1
-0.21333333333333335 1
-0.8125 1
0.001774622892635315 -0.3188405797101449
-0.012727671713846828 -0.9717514124293786
-0.002631578947368421 1
-0.018604651162790697 -0.483739837398374
-0.25 1
-0.026474820143884893 -0.4876543209876543
-0.018162393162393164 -0.1027479091995221
0.5 -0.25
-0.07575757575757576 -0.13636363636363635
-0.10416666666666667 1
-0.625 -0.625
-0.02926829268292683 -0.12244897959183673
-0.06629213483146068 1
0.0 1
0.0 1
-0.7857142857142857 1
-0.019561815336463225 1
-0.036734693877551024 1
0.0035714285714285713 -0.3137254901960784
-0.2222222222222222 1
-0.012549351381838691 -0.49134199134199136
0.09523809523809523 1
-0.019730733519034354 1
-0.8125 1
-0.02734877734877735 1
0.0 1
-0.015119549929676512 -0.48523985239852396
-0.017994505494505493 -0.483402489626556
0.5 1
-0.0341055341055341 -0.24790794979079497
0.0 1
0.0 1
-0.03611111111111111 1
-0.010273972602739725 1
-0.009722222222222222 1
-0.125 1
-0.056818181818181816 -0.9242424242424242
-0.007259331491413403 -0.1367171510437986
-0.3333333333333333 -0.8421052631578947
-0.006649506649506649 -0.13278388278388278
0.0673076923076923 1
-0.85 1
-0.026044492674986434 1
-0.00612369871402327 -0.23333333333333334
-0.020676691729323307 -0.1063264221158958
-0.02197802197802198 -0.3163841807909605
-0.07608695652173914 1
0.01818181818181818 -0.27586206896551724
-0.009166666666666667 -0.32984901277584205
-0.7857142857142857 1
-0.21428571428571427 1
-0.3 1
-0.023066485753052916 1
-0.10666666666666667 1
0.0 1
-0.013951734539969835 -0.1957983193277311
-0.04846938775510204 -0.927536231884058
-0.11904761904761904 -0.75
-0.028526645768025077 -0.19876543209876543
0.0 1
-0.03230297967140072 1
 
