Species,Sample,Number of cells
Euphorbia cymbifera,979,70
Euphorbia cymbifera,979,30
Euphorbia cymbifera,979,71
Euphorbia cymbifera,979,34
Euphorbia cymbifera,979,59
Euphorbia cymbifera,979,10
Euphorbia cymbifera,979,34
Euphorbia cymbifera,979,29
Euphorbia cymbifera,979,57
Euphorbia cymbifera,979,7
Euphorbia cymbifera,979,13
Euphorbia cymbifera,979,44
Euphorbia cymbifera,979,31
Euphorbia cymbifera,979,15
Euphorbia cymbifera,979,31
Euphorbia cymbifera,979,61
Euphorbia cymbifera,979,8
Euphorbia cymbifera,979,57
Euphorbia cymbifera,979,30
Euphorbia cymbifera,979,69
Euphorbia cymbifera,979,19
Euphorbia cymbifera,979,50
Euphorbia cymbifera,979,5
Euphorbia cymbifera,979,64
Euphorbia cymbifera,979,17
Euphorbia cymbifera,979,67
Euphorbia cymbifera,979,63
Euphorbia cymbifera,979,32
Euphorbia cymbifera,979,66
Euphorbia cymbifera,979,14
Euphorbia cymbifera,979,59
Euphorbia cymbifera,979,64
Euphorbia cymbifera,979,57
Euphorbia cymbifera,979,27
Euphorbia cymbifera,979,57
Euphorbia cymbifera,979,2
Euphorbia cymbifera,979,40
Euphorbia cymbifera,979,35
Euphorbia cymbifera,979,58
Euphorbia cymbifera,979,13
Euphorbia cymbifera,979,20
Euphorbia cymbifera,979,10
Euphorbia cymbifera,979,46
Euphorbia cymbifera,979,31
Euphorbia cymbifera,979,12
Euphorbia cymbifera,979,66
Euphorbia cymbifera,979,20
Euphorbia cymbifera,979,12
Euphorbia cymbifera,979,66
Euphorbia cymbifera,979,66
Euphorbia cymbifera,979,33
Euphorbia cymbifera,979,49
Euphorbia cymbifera,979,15
Euphorbia cymbifera,979,16
Euphorbia cymbifera,979,68
Euphorbia cymbifera,979,33
Euphorbia cymbifera,979,71
Euphorbia cymbifera,979,32
Euphorbia cymbifera,979,35
Euphorbia cymbifera,979,5
Euphorbia cymbifera,979,35
Euphorbia cymbifera,979,25
Euphorbia cymbifera,979,44
Euphorbia cymbifera,979,64
Euphorbia cymbifera,979,37
Euphorbia cymbifera,979,32
Euphorbia cymbifera,979,62
Euphorbia cymbifera,979,35
Euphorbia cymbifera,979,63
Euphorbia cymbifera,979,8
Euphorbia cymbifera,979,7
Euphorbia cymbifera,979,64
Euphorbia cymbifera,979,33
Euphorbia cymbifera,979,67
Euphorbia cymbifera,979,65
Euphorbia cymbifera,979,59
Euphorbia cymbifera,979,43
Euphorbia cymbifera,979,15
Euphorbia cymbifera,979,68
Euphorbia cymbifera,979,30
Euphorbia cymbifera,979,9
Euphorbia cymbifera,979,73
Euphorbia cymbifera,979,33
Euphorbia cymbifera,979,7
Euphorbia cymbifera,979,53
Euphorbia cymbifera,979,72
Euphorbia cymbifera,979,29
Euphorbia cymbifera,979,6
Euphorbia cymbifera,979,64
Euphorbia cymbifera,979,32
Euphorbia cymbifera,979,70
Euphorbia cymbifera,979,14
Euphorbia cymbifera,979,16
Euphorbia cymbifera,979,38
Euphorbia cymbifera,979,15
Euphorbia cymbifera,979,40
Euphorbia cymbifera,979,35
Euphorbia cymbifera,979,7
Euphorbia cymbifera,979,75
Euphorbia cymbifera,979,49
Euphorbia cymbifera,979,33
Euphorbia cymbifera,979,58
Euphorbia cymbifera,979,35
Euphorbia cymbifera,979,12
Euphorbia cymbifera,979,63
Euphorbia cymbifera,979,39
Euphorbia cymbifera,979,37
Euphorbia cymbifera,979,3
Euphorbia cymbifera,979,37
Euphorbia cymbifera,979,72
Euphorbia cymbifera,979,18
Euphorbia cymbifera,979,69
Euphorbia cymbifera,979,37
Euphorbia cymbifera,979,35
Euphorbia cymbifera,979,64
Euphorbia cymbifera,979,46
Euphorbia cymbifera,979,36
Euphorbia cymbifera,979,66
Euphorbia cymbifera,979,66
Euphorbia cymbifera,979,9
Euphorbia cymbifera,979,37
Euphorbia cymbifera,979,18
Euphorbia cymbifera,979,71
Euphorbia cymbifera,979,14
Euphorbia cymbifera,979,35
Euphorbia cymbifera,979,72
Euphorbia cymbifera,979,62
Euphorbia cymbifera,979,20
Euphorbia cymbifera,979,26
Euphorbia cymbifera,979,73
Euphorbia cymbifera,979,48
Euphorbia cymbifera,979,37
Euphorbia cymbifera,979,80
Euphorbia cymbifera,979,35
Euphorbia cymbifera,979,57
Euphorbia cymbifera,979,26
Euphorbia cymbifera,979,16
Euphorbia cymbifera,979,26
Euphorbia cymbifera,979,68
Euphorbia cymbifera,979,38
Euphorbia cymbifera,979,4
Euphorbia cymbifera,979,64
Euphorbia cymbifera,979,36
Euphorbia cymbifera,979,66
Euphorbia cymbifera,979,33
Euphorbia cymbifera,979,65
Euphorbia cymbifera,979,64
Euphorbia cymbifera,979,33
Euphorbia cymbifera,979,63
Euphorbia cymbifera,979,53
