Conductive-Non conductive
-0.09683098591549295 1
-0.08722741433021806 -0.9565217391304348
-0.3151041666666667 1
1 1
1 1
-0.18434782608695652 -0.957983193277311
1 1
-0.0664983164983165 1
-0.22540983606557377 1
-0.25 1
-0.15666666666666668 -0.4365079365079365
-0.45348837209302323 1
-0.1145320197044335 -0.13817663817663817
1 1
1 1
-0.22794117647058823 -0.9295774647887324
-0.5833333333333334 -0.75
-0.41304347826086957 -0.8936170212765957
-0.26143790849673204 -0.4230769230769231
-0.8333333333333334 -0.9
-0.14604810996563575 -0.9509803921568627
1 1
1 1
-0.29304029304029305 -0.315018315018315
-0.12173913043478261 -0.23728813559322035
1 1
-0.07078651685393259 -0.9489795918367347
-0.09649122807017543 -0.3081232492997199
-0.9431818181818182 -0.9431818181818182
1 1
1 1
-0.04772727272727273 1
-0.9612403100775194 -0.192
1 1
-0.10038986354775828 -0.9590163934426229
-0.10989010989010989 1
-0.09482758620689655 -0.47560975609756095
-0.25 1
-0.4827586206896552 1
-0.11298701298701298 -0.1875
1 1
-0.11243386243386243 -0.22747747747747749
-0.22093023255813954 1
1 1
-0.22115384615384615 1
-0.868421052631579 1
-0.22899159663865545 -0.9590163934426229
-0.4444444444444444 1
-0.11614401858304298 -0.46875
-0.9152542372881356 1
1 1
-0.17404580152671756 1
-0.4322033898305085 1
-0.14035087719298245 1
1 1
-0.31143552311435524 1
-0.24390243902439024 1
-0.03505933117583603 1
1 1
-0.8695652173913043 -0.225
-0.11538461538461539 -0.3284313725490196
-0.16666666666666666 1
-0.045550847457627115 1
-0.17043478260869566 -0.301994301994302
-0.275 1
-0.44285714285714284 -0.9295774647887324
-0.40476190476190477 1
-0.8387096774193549 1
1 1
-0.9090909090909091 1
-0.21428571428571427 1
1 1
-0.06561085972850679 -0.956140350877193
1 1
-0.17739130434782607 1
-0.4658119658119658 1
1 1
-0.13914373088685014 -0.3005952380952381
-0.04329004329004329 -0.29213483146067415
-0.05056179775280899 -0.9705882352941176
-0.12146892655367232 1
-0.29931972789115646 1
1 1
-0.2764227642276423 -0.8837209302325582
1 1
-0.0673076923076923 -0.956140350877193
1 1
-0.14347826086956522 -0.46638655462184875
-0.014814814814814815 1
1 1
-0.11818181818181818 -0.22787610619469026
-0.18137254901960784 -0.9444444444444444
1 1
-0.12597402597402596 -0.4826086956521739
-0.04909090909090909 -0.921875
-0.05782312925170068 -0.1676190476190476
-0.08235294117647059 1
1 1
-0.1 -0.46551724137931033
-0.165 -0.8863636363636364
-0.28095238095238095 -0.9305555555555556
-0.07518796992481203 -0.8
-0.3045267489711934 -0.963855421686747
1 1
1 1
-0.20512820512820512 1
1 1
-0.7727272727272727 1
-0.11795543905635648 1
1 1
-0.2857142857142857 -0.2857142857142857
-0.08408408408408409 -0.12276785714285714
-0.5 1
1 1
-0.14387464387464388 -0.22058823529411764
1 1
-0.054285714285714284 -0.4732142857142857
1 1
-0.35185185185185186 1
-0.09146341463414634 -0.17411764705882352
-0.10833333333333334 -0.22706422018348624
0.03333333333333333 -0.16666666666666666
-0.8 1
-0.2357142857142857 1
-0.10158730158730159 1
-0.46 -0.48
-0.045454545454545456 1
1 1
1 1
-0.8837209302325582 -0.8837209302325582
-0.06535947712418301 -0.1761467889908257
 
