Species,Sample,Number of cells
Euphorbia diazlunana,EPM10,78
Euphorbia diazlunana,EPM10,115
Euphorbia diazlunana,EPM10,130
Euphorbia diazlunana,EPM10,6
Euphorbia diazlunana,EPM10,14
Euphorbia diazlunana,EPM10,119
Euphorbia diazlunana,EPM10,40
Euphorbia diazlunana,EPM10,115
Euphorbia diazlunana,EPM10,64
Euphorbia diazlunana,EPM10,67
Euphorbia diazlunana,EPM10,64
Euphorbia diazlunana,EPM10,44
Euphorbia diazlunana,EPM10,122
Euphorbia diazlunana,EPM10,72
Euphorbia diazlunana,EPM10,35
Euphorbia diazlunana,EPM10,71
Euphorbia diazlunana,EPM10,28
Euphorbia diazlunana,EPM10,47
Euphorbia diazlunana,EPM10,66
Euphorbia diazlunana,EPM10,30
Euphorbia diazlunana,EPM10,102
Euphorbia diazlunana,EPM10,72
Euphorbia diazlunana,EPM10,53
Euphorbia diazlunana,EPM10,110
Euphorbia diazlunana,EPM10,121
Euphorbia diazlunana,EPM10,60
Euphorbia diazlunana,EPM10,98
Euphorbia diazlunana,EPM10,121
Euphorbia diazlunana,EPM10,88
Euphorbia diazlunana,EPM10,76
Euphorbia diazlunana,EPM10,47
Euphorbia diazlunana,EPM10,50
Euphorbia diazlunana,EPM10,129
Euphorbia diazlunana,EPM10,65
Euphorbia diazlunana,EPM10,122
Euphorbia diazlunana,EPM10,45
Euphorbia diazlunana,EPM10,124
Euphorbia diazlunana,EPM10,60
Euphorbia diazlunana,EPM10,117
Euphorbia diazlunana,EPM10,116
Euphorbia diazlunana,EPM10,60
Euphorbia diazlunana,EPM10,114
Euphorbia diazlunana,EPM10,89
Euphorbia diazlunana,EPM10,65
Euphorbia diazlunana,EPM10,55
Euphorbia diazlunana,EPM10,38
Euphorbia diazlunana,EPM10,122
Euphorbia diazlunana,EPM10,76
Euphorbia diazlunana,EPM10,129
Euphorbia diazlunana,EPM10,59
Euphorbia diazlunana,EPM10,62
Euphorbia diazlunana,EPM10,135
Euphorbia diazlunana,EPM10,60
Euphorbia diazlunana,EPM10,61
Euphorbia diazlunana,EPM10,73
Euphorbia diazlunana,EPM10,139
Euphorbia diazlunana,EPM10,84
Euphorbia diazlunana,EPM10,120
Euphorbia diazlunana,EPM10,26
Euphorbia diazlunana,EPM10,23
Euphorbia diazlunana,EPM10,70
Euphorbia diazlunana,EPM10,45
Euphorbia diazlunana,EPM10,74
Euphorbia diazlunana,EPM10,119
Euphorbia diazlunana,EPM10,88
Euphorbia diazlunana,EPM10,93
Euphorbia diazlunana,EPM10,43
Euphorbia diazlunana,EPM10,31
Euphorbia diazlunana,EPM10,10
Euphorbia diazlunana,EPM10,91
Euphorbia diazlunana,EPM10,46
Euphorbia diazlunana,EPM10,35
Euphorbia diazlunana,EPM10,114
Euphorbia diazlunana,EPM10,31
Euphorbia diazlunana,EPM10,119
Euphorbia diazlunana,EPM10,118
Euphorbia diazlunana,EPM10,70
Euphorbia diazlunana,EPM10,114
Euphorbia diazlunana,EPM10,91
Euphorbia diazlunana,EPM10,109
Euphorbia diazlunana,EPM10,64
Euphorbia diazlunana,EPM10,51
Euphorbia diazlunana,EPM10,71
Euphorbia diazlunana,EPM10,43
Euphorbia diazlunana,EPM10,76
Euphorbia diazlunana,EPM10,114
Euphorbia diazlunana,EPM10,70
Euphorbia diazlunana,EPM10,120
Euphorbia diazlunana,EPM10,43
Euphorbia diazlunana,EPM10,45
Euphorbia diazlunana,EPM10,116
Euphorbia diazlunana,EPM10,54
Euphorbia diazlunana,EPM10,68
Euphorbia diazlunana,EPM10,116
Euphorbia diazlunana,EPM10,78
Euphorbia diazlunana,EPM10,109
Euphorbia diazlunana,EPM10,111
Euphorbia diazlunana,EPM10,59
Euphorbia diazlunana,EPM10,117
Euphorbia diazlunana,EPM10,64
Euphorbia diazlunana,EPM10,72
Euphorbia diazlunana,EPM10,62
Euphorbia diazlunana,EPM10,83
Euphorbia diazlunana,EPM10,19
Euphorbia diazlunana,EPM10,54
Euphorbia diazlunana,EPM10,81
Euphorbia diazlunana,EPM10,13
Euphorbia diazlunana,EPM10,29
Euphorbia diazlunana,EPM10,115
Euphorbia diazlunana,EPM10,22
Euphorbia diazlunana,EPM10,7
Euphorbia diazlunana,EPM10,119
Euphorbia diazlunana,EPM10,80
Euphorbia diazlunana,EPM10,45
Euphorbia diazlunana,EPM10,122
Euphorbia diazlunana,EPM10,16
Euphorbia diazlunana,EPM10,113
Euphorbia diazlunana,EPM10,68
Euphorbia diazlunana,EPM10,28
Euphorbia diazlunana,EPM10,89
Euphorbia diazlunana,EPM10,112
Euphorbia diazlunana,EPM10,72
Euphorbia diazlunana,EPM10,25
Euphorbia diazlunana,EPM10,73
Euphorbia diazlunana,EPM10,113
Euphorbia diazlunana,EPM10,101
Euphorbia diazlunana,EPM10,80
Euphorbia diazlunana,EPM10,14
Euphorbia diazlunana,EPM10,48
Euphorbia diazlunana,EPM10,43
Euphorbia diazlunana,EPM10,113
