Conductive-Non conductive
-0.05042016806722689 -0.8695652173913043
-0.057971014492753624 -0.10285714285714286
-0.05293631100082713 -0.9523809523809523
-0.015922464520595363 -0.12598425196850394
-0.8571428571428571 1
-0.0340080971659919 -0.47560975609756095
-0.013492063492063493 -0.31875
1 0.5
-0.024489795918367346 1
1 -0.25555555555555554
-0.03971524915698764 -0.31189083820662766
0.0 0.0
-0.003686635944700461 -0.07661290322580645
-0.05238095238095238 1
-0.02619047619047619 -0.1397738951695786
1 1
1 1
1 1
-0.3620689655172414 1
-0.04523809523809524 -0.9624060150375939
-0.18055555555555555 -0.8076923076923077
-0.059893048128342244 -0.9473684210526315
-0.036155202821869487 1
1 1
-0.13333333333333333 1
-0.0348814422888497 -0.4847328244274809
-0.08521303258145363 1
-0.125 -0.16666666666666666
-0.20512820512820512 1
-0.01461038961038961 -0.48130841121495327
-0.09340659340659341 1
-0.9107142857142857 1
-0.08986175115207373 1
-0.16666666666666666 -0.16
-0.13953488372093023 -0.3111111111111111
1 1
-0.046218487394957986 1
-0.021886399166232414 -0.18434782608695652
-0.875 1
-0.10666666666666667 1
1 1
-0.12777777777777777 1
-0.17391304347826086 1
-0.39473684210526316 1
-0.06837606837606838 1
-0.004402861860209136 -0.9504950495049505
0.10714285714285714 -0.05555555555555555
-0.09038461538461538 1
-0.02586206896551724 -0.4444444444444444
-0.013333333333333334 -0.9704142011834319
-0.36666666666666664 1
-0.0393598615916955 1
-0.01381578947368421 -0.9489795918367347
1 1
-0.20081967213114754 1
1 1
-0.01870748299319728 -0.23177083333333334
-0.5 1
-0.020618556701030927 -0.9743589743589743
-0.11594202898550725 -0.16666666666666666
-0.0077083333333333335 -0.979757085020243
1 1
0.2222222222222222 0.0
1 1
-0.04044117647058824 -0.11909448818897637
-0.019067796610169493 1
-0.24166666666666667 1
-0.8148148148148148 1
-0.013888888888888888 1
-0.7058823529411765 1
-0.016331291921843103 -0.47368421052631576
-0.05128205128205128 1
-0.23423423423423423 1
-0.03232323232323232 -0.24596774193548387
1 1
-0.021604938271604937 -0.484251968503937
-0.028091812264474134 1
-0.014184397163120567 -0.07547169811320754
-0.029914529914529916 1
-0.025198938992042442 1
-0.04285714285714286 1
0.005509641873278237 1
-0.035333333333333335 1
-0.0431077694235589 -0.3264367816091954
-0.20238095238095238 1
-0.044444444444444446 1
-0.008344459279038718 -0.4699248120300752
-0.08124253285543608 1
-0.299625468164794 1
-0.05949367088607595 -0.9431818181818182
1 1
1 1
1 1
-0.02361111111111111 -0.29444444444444445
-0.030585106382978722 -0.9541284403669725
-0.023809523809523808 -0.3181818181818182
-0.03050314465408805 -0.1206140350877193
-0.75 1
1 -0.8
-0.07738095238095238 -0.8333333333333334
-0.025448235974551765 -0.2358490566037736
-0.06339712918660287 -0.9418604651162791
-0.07142857142857142 -0.16666666666666666
-0.060263653483992465 -0.234375
-0.007936507936507936 -0.084
-0.018132716049382717 -0.46396396396396394
-0.013266998341625208 -0.45652173913043476
1 0.5
-0.01374650512581547 -0.13361344537815126
-0.5714285714285714 1
0.0 1
-0.3 -0.8571428571428571
1 1
-0.019466666666666667 1
-0.11904761904761904 1
-0.03333333333333333 1
-0.6875 1
-0.15873015873015872 1
-0.020092226613965744 1
1 1
1 1
-0.024183006535947713 1
1 1
-0.016666666666666666 1
-0.022718594883543337 -0.32262996941896027
-0.006604292790313704 -0.23469387755102042
-0.14035087719298245 1
1 1
-0.14901960784313725 1
-0.012624172185430464 -0.47790055248618785
-0.05555555555555555 1
1 1
-0.25555555555555554 1
-0.05913978494623656 1
-0.010344827586206896 -0.868421052631579
1 1
-0.09059233449477352 -0.8936170212765957
-0.031746031746031744 -0.35714285714285715
-0.012056737588652482 1
-0.15 1
-0.075 1
-0.033011272141706925 1
1 1
-0.01834862385321101 1
-0.5833333333333334 1
-0.023322422258592473 -0.4811320754716981
-0.036923076923076927 1
-0.03146067415730337 -0.3234323432343234
-0.21739130434782608 1
-0.01171875 1
-0.04479578392621871 1
-0.17857142857142858 1
-0.006540270429159318 1
-0.00966183574879227 1
-0.037337662337662336 1
1 1
-0.01838235294117647 -0.4925373134328358
-0.035955056179775284 1
0.0 1
-0.12254901960784313 -0.9315068493150684
-0.016260162601626018 -0.31746031746031744
-0.8275862068965517 1
-0.038109756097560975 -0.4636363636363636
-0.012878960565306588 -0.088301043219076
0.0 0.0
-0.09381663113006397 -0.1
-0.016783216783216783 -0.0981651376146789
-0.12962962962962962 1
-0.7916666666666666 1
-0.05026455026455026 -0.875
-0.042483660130718956 -0.25833333333333336
-0.06626506024096386 -0.9456521739130435
-0.04926108374384237 -0.26262626262626265
-0.005947899412739046 -0.1619217081850534
-0.013888888888888888 1
-0.036290322580645164 1
-0.010759771629336846 -0.1332752613240418
 
