Species,Sample,Number of cells
Euphorbia peritropoides,974,34
Euphorbia peritropoides,974,264
Euphorbia peritropoides,974,135
Euphorbia peritropoides,974,119
Euphorbia peritropoides,974,45
Euphorbia peritropoides,974,213
Euphorbia peritropoides,974,57
Euphorbia peritropoides,974,201
Euphorbia peritropoides,974,168
Euphorbia peritropoides,974,207
Euphorbia peritropoides,974,94
Euphorbia peritropoides,974,5
Euphorbia peritropoides,974,61
Euphorbia peritropoides,974,15
Euphorbia peritropoides,974,176
Euphorbia peritropoides,974,88
Euphorbia peritropoides,974,119
Euphorbia peritropoides,974,118
Euphorbia peritropoides,974,311
Euphorbia peritropoides,974,289
Euphorbia peritropoides,974,72
Euphorbia peritropoides,974,52
Euphorbia peritropoides,974,43
Euphorbia peritropoides,974,63
Euphorbia peritropoides,974,46
Euphorbia peritropoides,974,263
Euphorbia peritropoides,974,163
Euphorbia peritropoides,974,99
Euphorbia peritropoides,974,340
Euphorbia peritropoides,974,198
Euphorbia peritropoides,974,106
Euphorbia peritropoides,974,31
Euphorbia peritropoides,974,215
Euphorbia peritropoides,974,132
Euphorbia peritropoides,974,189
Euphorbia peritropoides,974,346
Euphorbia peritropoides,974,67
Euphorbia peritropoides,974,166
Euphorbia peritropoides,974,36
Euphorbia peritropoides,974,137
Euphorbia peritropoides,974,141
Euphorbia peritropoides,974,57
Euphorbia peritropoides,974,330
Euphorbia peritropoides,974,183
Euphorbia peritropoides,974,139
Euphorbia peritropoides,974,52
Euphorbia peritropoides,974,39
Euphorbia peritropoides,974,41
Euphorbia peritropoides,974,180
Euphorbia peritropoides,974,137
Euphorbia peritropoides,974,49
Euphorbia peritropoides,974,75
Euphorbia peritropoides,974,63
Euphorbia peritropoides,974,180
Euphorbia peritropoides,974,29
Euphorbia peritropoides,974,52
Euphorbia peritropoides,974,197
Euphorbia peritropoides,974,60
Euphorbia peritropoides,974,71
Euphorbia peritropoides,974,193
Euphorbia peritropoides,974,193
Euphorbia peritropoides,974,324
Euphorbia peritropoides,974,136
Euphorbia peritropoides,974,37
Euphorbia peritropoides,974,105
Euphorbia peritropoides,974,230
Euphorbia peritropoides,974,113
Euphorbia peritropoides,974,92
Euphorbia peritropoides,974,185
Euphorbia peritropoides,974,157
Euphorbia peritropoides,974,82
Euphorbia peritropoides,974,205
Euphorbia peritropoides,974,11
Euphorbia peritropoides,974,66
Euphorbia peritropoides,974,78
Euphorbia peritropoides,974,190
Euphorbia peritropoides,974,55
Euphorbia peritropoides,974,270
Euphorbia peritropoides,974,29
Euphorbia peritropoides,974,115
Euphorbia peritropoides,974,59
Euphorbia peritropoides,974,270
Euphorbia peritropoides,974,209
Euphorbia peritropoides,974,113
Euphorbia peritropoides,974,19
Euphorbia peritropoides,974,36
Euphorbia peritropoides,974,310
Euphorbia peritropoides,974,65
Euphorbia peritropoides,974,39
Euphorbia peritropoides,974,35
Euphorbia peritropoides,974,50
Euphorbia peritropoides,974,149
Euphorbia peritropoides,974,120
Euphorbia peritropoides,974,71
Euphorbia peritropoides,974,53
Euphorbia peritropoides,974,123
Euphorbia peritropoides,974,75
Euphorbia peritropoides,974,20
Euphorbia peritropoides,974,69
Euphorbia peritropoides,974,73
Euphorbia peritropoides,974,133
Euphorbia peritropoides,974,292
Euphorbia peritropoides,974,62
Euphorbia peritropoides,974,80
Euphorbia peritropoides,974,15
Euphorbia peritropoides,974,4
Euphorbia peritropoides,974,54
Euphorbia peritropoides,974,187
Euphorbia peritropoides,974,94
Euphorbia peritropoides,974,86
Euphorbia peritropoides,974,179
Euphorbia peritropoides,974,23
Euphorbia peritropoides,974,51
Euphorbia peritropoides,974,21
Euphorbia peritropoides,974,295
Euphorbia peritropoides,974,212
Euphorbia peritropoides,974,214
Euphorbia peritropoides,974,166
Euphorbia peritropoides,974,6
Euphorbia peritropoides,974,107
Euphorbia peritropoides,974,85
Euphorbia peritropoides,974,109
Euphorbia peritropoides,974,34
Euphorbia peritropoides,974,300
Euphorbia peritropoides,974,313
Euphorbia peritropoides,974,73
Euphorbia peritropoides,974,114
Euphorbia peritropoides,974,308
Euphorbia peritropoides,974,13
Euphorbia peritropoides,974,148
Euphorbia peritropoides,974,396
Euphorbia peritropoides,974,131
Euphorbia peritropoides,974,43
Euphorbia peritropoides,974,294
Euphorbia peritropoides,974,193
Euphorbia peritropoides,974,400
Euphorbia peritropoides,974,180
Euphorbia peritropoides,974,110
Euphorbia peritropoides,974,98
Euphorbia peritropoides,974,187
Euphorbia peritropoides,974,177
Euphorbia peritropoides,974,45
Euphorbia peritropoides,974,321
Euphorbia peritropoides,974,75
Euphorbia peritropoides,974,174
Euphorbia peritropoides,974,232
Euphorbia peritropoides,974,81
Euphorbia peritropoides,974,5
Euphorbia peritropoides,974,169
Euphorbia peritropoides,974,85
Euphorbia peritropoides,974,98
Euphorbia peritropoides,974,70
Euphorbia peritropoides,974,60
Euphorbia peritropoides,974,65
Euphorbia peritropoides,974,120
Euphorbia peritropoides,974,102
Euphorbia peritropoides,974,59
Euphorbia peritropoides,974,396
Euphorbia peritropoides,974,16
Euphorbia peritropoides,974,146
Euphorbia peritropoides,974,9
Euphorbia peritropoides,974,90
Euphorbia peritropoides,974,90
Euphorbia peritropoides,974,197
Euphorbia peritropoides,974,88
Euphorbia peritropoides,974,73
Euphorbia peritropoides,974,279
Euphorbia peritropoides,974,111
Euphorbia peritropoides,974,432
Euphorbia peritropoides,974,142
Euphorbia peritropoides,974,94
Euphorbia peritropoides,974,10
Euphorbia peritropoides,974,128
Euphorbia peritropoides,974,333
Euphorbia peritropoides,974,59
Euphorbia peritropoides,974,92
Euphorbia peritropoides,974,58
Euphorbia peritropoides,974,61
Euphorbia peritropoides,974,260
Euphorbia peritropoides,974,35
Euphorbia peritropoides,974,166
Euphorbia peritropoides,974,81
Euphorbia peritropoides,974,114
Euphorbia peritropoides,974,317
Euphorbia peritropoides,974,161
Euphorbia peritropoides,974,177
Euphorbia peritropoides,974,163
Euphorbia peritropoides,974,32
Euphorbia peritropoides,974,82
Euphorbia peritropoides,974,303
Euphorbia peritropoides,974,199
