Species,Sample,Number of cells
Euphorbia conzattii,971a,52
Euphorbia conzattii,971a,386
Euphorbia conzattii,971a,27
Euphorbia conzattii,971a,57
Euphorbia conzattii,971a,230
Euphorbia conzattii,971a,266
Euphorbia conzattii,971a,28
Euphorbia conzattii,971a,35
Euphorbia conzattii,971a,350
Euphorbia conzattii,971a,32
Euphorbia conzattii,971a,113
Euphorbia conzattii,971a,41
Euphorbia conzattii,971a,400
Euphorbia conzattii,971a,200
Euphorbia conzattii,971a,145
Euphorbia conzattii,971a,13
Euphorbia conzattii,971a,56
Euphorbia conzattii,971a,401
Euphorbia conzattii,971a,83
Euphorbia conzattii,971a,288
Euphorbia conzattii,971a,110
Euphorbia conzattii,971a,126
Euphorbia conzattii,971a,137
Euphorbia conzattii,971a,42
Euphorbia conzattii,971a,143
Euphorbia conzattii,971a,116
Euphorbia conzattii,971a,22
Euphorbia conzattii,971a,383
Euphorbia conzattii,971a,36
Euphorbia conzattii,971a,443
Euphorbia conzattii,971a,52
Euphorbia conzattii,971a,16
Euphorbia conzattii,971a,259
Euphorbia conzattii,971a,39
Euphorbia conzattii,971a,12
Euphorbia conzattii,971a,206
Euphorbia conzattii,971a,168
Euphorbia conzattii,971a,41
Euphorbia conzattii,971a,153
Euphorbia conzattii,971a,41
Euphorbia conzattii,971a,294
Euphorbia conzattii,971a,22
Euphorbia conzattii,971a,191
Euphorbia conzattii,971a,12
Euphorbia conzattii,971a,180
Euphorbia conzattii,971a,70
Euphorbia conzattii,971a,67
Euphorbia conzattii,971a,145
Euphorbia conzattii,971a,303
Euphorbia conzattii,971a,405
Euphorbia conzattii,971a,96
Euphorbia conzattii,971a,70
Euphorbia conzattii,971a,21
Euphorbia conzattii,971a,62
Euphorbia conzattii,971a,189
Euphorbia conzattii,971a,12
Euphorbia conzattii,971a,31
Euphorbia conzattii,971a,390
Euphorbia conzattii,971a,139
Euphorbia conzattii,971a,10
Euphorbia conzattii,971a,50
Euphorbia conzattii,971a,366
Euphorbia conzattii,971a,19
Euphorbia conzattii,971a,200
Euphorbia conzattii,971a,408
Euphorbia conzattii,971a,105
Euphorbia conzattii,971a,414
Euphorbia conzattii,971a,182
Euphorbia conzattii,971a,80
Euphorbia conzattii,971a,405
Euphorbia conzattii,971a,41
Euphorbia conzattii,971a,33
Euphorbia conzattii,971a,68
Euphorbia conzattii,971a,32
Euphorbia conzattii,971a,349
Euphorbia conzattii,971a,212
Euphorbia conzattii,971a,81
Euphorbia conzattii,971a,300
Euphorbia conzattii,971a,326
Euphorbia conzattii,971a,382
Euphorbia conzattii,971a,71
Euphorbia conzattii,971a,64
Euphorbia conzattii,971a,209
Euphorbia conzattii,971a,209
Euphorbia conzattii,971a,352
Euphorbia conzattii,971a,90
Euphorbia conzattii,971a,346
Euphorbia conzattii,971a,21
Euphorbia conzattii,971a,292
Euphorbia conzattii,971a,37
Euphorbia conzattii,971a,174
Euphorbia conzattii,971a,193
Euphorbia conzattii,971a,16
Euphorbia conzattii,971a,24
Euphorbia conzattii,971a,397
Euphorbia conzattii,971a,189
Euphorbia conzattii,971a,171
Euphorbia conzattii,971a,38
Euphorbia conzattii,971a,33
Euphorbia conzattii,971a,385
Euphorbia conzattii,971a,95
Euphorbia conzattii,971a,63
Euphorbia conzattii,971a,54
Euphorbia conzattii,971a,296
Euphorbia conzattii,971a,202
Euphorbia conzattii,971a,9
Euphorbia conzattii,971a,390
Euphorbia conzattii,971a,6
Euphorbia conzattii,971a,6
Euphorbia conzattii,971a,197
Euphorbia conzattii,971a,207
Euphorbia conzattii,971a,10
Euphorbia conzattii,971a,63
Euphorbia conzattii,971a,388
Euphorbia conzattii,971a,243
Euphorbia conzattii,971a,48
Euphorbia conzattii,971a,299
Euphorbia conzattii,971a,48
Euphorbia conzattii,971a,71
Euphorbia conzattii,971a,277
Euphorbia conzattii,971a,425
Euphorbia conzattii,971a,221
Euphorbia conzattii,971a,265
Euphorbia conzattii,971a,245
Euphorbia conzattii,971a,402
Euphorbia conzattii,971a,172
Euphorbia conzattii,971a,266
Euphorbia conzattii,971a,184
Euphorbia conzattii,971a,371
Euphorbia conzattii,971a,51
Euphorbia conzattii,971a,172
Euphorbia conzattii,971a,219
Euphorbia conzattii,971a,414
Euphorbia conzattii,971a,237
Euphorbia conzattii,971a,200
Euphorbia conzattii,971a,341
Euphorbia conzattii,971a,28
Euphorbia conzattii,971a,85
Euphorbia conzattii,971a,37
Euphorbia conzattii,971a,415
Euphorbia conzattii,971a,50
Euphorbia conzattii,971a,342
Euphorbia conzattii,971a,32
Euphorbia conzattii,971a,85
Euphorbia conzattii,971a,126
Euphorbia conzattii,971a,67
Euphorbia conzattii,971a,403
Euphorbia conzattii,971a,208
Euphorbia conzattii,971a,21
Euphorbia conzattii,971a,387
Euphorbia conzattii,971a,53
Euphorbia conzattii,971a,10
Euphorbia conzattii,971a,60
Euphorbia conzattii,971a,4
Euphorbia conzattii,971a,359
Euphorbia conzattii,971a,168
Euphorbia conzattii,971a,60
Euphorbia conzattii,971a,337
Euphorbia conzattii,971a,272
Euphorbia conzattii,971a,174
Euphorbia conzattii,971a,8
Euphorbia conzattii,971a,36
Euphorbia conzattii,971a,353
Euphorbia conzattii,971a,141
Euphorbia conzattii,971a,12
Euphorbia conzattii,971a,343
Euphorbia conzattii,971a,225
Euphorbia conzattii,971a,6
Euphorbia conzattii,971a,14
Euphorbia conzattii,971a,415
Euphorbia conzattii,971a,130
Euphorbia conzattii,971a,409
Euphorbia conzattii,971a,385
Euphorbia conzattii,971a,46
