Species,Sample,Number of cells
Euphorbia tehuacana,981,93
Euphorbia tehuacana,981,53
Euphorbia tehuacana,981,308
Euphorbia tehuacana,981,16
Euphorbia tehuacana,981,68
Euphorbia tehuacana,981,164
Euphorbia tehuacana,981,209
Euphorbia tehuacana,981,34
Euphorbia tehuacana,981,225
Euphorbia tehuacana,981,12
Euphorbia tehuacana,981,205
Euphorbia tehuacana,981,155
Euphorbia tehuacana,981,30
Euphorbia tehuacana,981,330
Euphorbia tehuacana,981,43
Euphorbia tehuacana,981,43
Euphorbia tehuacana,981,47
Euphorbia tehuacana,981,81
Euphorbia tehuacana,981,329
Euphorbia tehuacana,981,154
Euphorbia tehuacana,981,188
Euphorbia tehuacana,981,167
Euphorbia tehuacana,981,23
Euphorbia tehuacana,981,28
Euphorbia tehuacana,981,245
Euphorbia tehuacana,981,17
Euphorbia tehuacana,981,191
Euphorbia tehuacana,981,10
Euphorbia tehuacana,981,159
Euphorbia tehuacana,981,327
Euphorbia tehuacana,981,66
Euphorbia tehuacana,981,60
Euphorbia tehuacana,981,176
Euphorbia tehuacana,981,112
Euphorbia tehuacana,981,172
Euphorbia tehuacana,981,149
Euphorbia tehuacana,981,5
Euphorbia tehuacana,981,95
Euphorbia tehuacana,981,67
Euphorbia tehuacana,981,18
Euphorbia tehuacana,981,155
Euphorbia tehuacana,981,224
Euphorbia tehuacana,981,70
Euphorbia tehuacana,981,45
Euphorbia tehuacana,981,317
Euphorbia tehuacana,981,152
Euphorbia tehuacana,981,172
Euphorbia tehuacana,981,221
Euphorbia tehuacana,981,284
Euphorbia tehuacana,981,177
Euphorbia tehuacana,981,125
Euphorbia tehuacana,981,247
Euphorbia tehuacana,981,42
Euphorbia tehuacana,981,61
Euphorbia tehuacana,981,147
Euphorbia tehuacana,981,114
Euphorbia tehuacana,981,11
Euphorbia tehuacana,981,116
Euphorbia tehuacana,981,131
Euphorbia tehuacana,981,100
Euphorbia tehuacana,981,314
Euphorbia tehuacana,981,163
Euphorbia tehuacana,981,125
Euphorbia tehuacana,981,8
Euphorbia tehuacana,981,56
Euphorbia tehuacana,981,91
Euphorbia tehuacana,981,301
Euphorbia tehuacana,981,161
Euphorbia tehuacana,981,5
Euphorbia tehuacana,981,206
Euphorbia tehuacana,981,12
Euphorbia tehuacana,981,91
Euphorbia tehuacana,981,117
Euphorbia tehuacana,981,30
Euphorbia tehuacana,981,71
Euphorbia tehuacana,981,298
Euphorbia tehuacana,981,165
Euphorbia tehuacana,981,183
Euphorbia tehuacana,981,342
Euphorbia tehuacana,981,162
Euphorbia tehuacana,981,158
Euphorbia tehuacana,981,154
Euphorbia tehuacana,981,157
Euphorbia tehuacana,981,145
Euphorbia tehuacana,981,77
Euphorbia tehuacana,981,77
Euphorbia tehuacana,981,11
Euphorbia tehuacana,981,305
Euphorbia tehuacana,981,83
Euphorbia tehuacana,981,98
Euphorbia tehuacana,981,228
Euphorbia tehuacana,981,171
Euphorbia tehuacana,981,299
Euphorbia tehuacana,981,68
Euphorbia tehuacana,981,74
Euphorbia tehuacana,981,158
Euphorbia tehuacana,981,291
Euphorbia tehuacana,981,81
Euphorbia tehuacana,981,106
Euphorbia tehuacana,981,126
Euphorbia tehuacana,981,55
Euphorbia tehuacana,981,166
Euphorbia tehuacana,981,62
Euphorbia tehuacana,981,36
Euphorbia tehuacana,981,179
Euphorbia tehuacana,981,20
Euphorbia tehuacana,981,19
Euphorbia tehuacana,981,272
Euphorbia tehuacana,981,91
Euphorbia tehuacana,981,13
Euphorbia tehuacana,981,246
Euphorbia tehuacana,981,25
Euphorbia tehuacana,981,26
Euphorbia tehuacana,981,117
Euphorbia tehuacana,981,194
Euphorbia tehuacana,981,150
Euphorbia tehuacana,981,32
Euphorbia tehuacana,981,156
Euphorbia tehuacana,981,16
Euphorbia tehuacana,981,116
Euphorbia tehuacana,981,213
Euphorbia tehuacana,981,237
Euphorbia tehuacana,981,51
Euphorbia tehuacana,981,220
Euphorbia tehuacana,981,100
Euphorbia tehuacana,981,78
Euphorbia tehuacana,981,5
Euphorbia tehuacana,981,160
Euphorbia tehuacana,981,83
Euphorbia tehuacana,981,69
Euphorbia tehuacana,981,308
Euphorbia tehuacana,981,158
Euphorbia tehuacana,981,298
Euphorbia tehuacana,981,202
Euphorbia tehuacana,981,172
Euphorbia tehuacana,981,251
Euphorbia tehuacana,981,302
Euphorbia tehuacana,981,12
Euphorbia tehuacana,981,151
Euphorbia tehuacana,981,159
Euphorbia tehuacana,981,229
Euphorbia tehuacana,981,39
Euphorbia tehuacana,981,83
Euphorbia tehuacana,981,309
Euphorbia tehuacana,981,8
Euphorbia tehuacana,981,183
Euphorbia tehuacana,981,181
Euphorbia tehuacana,981,52
Euphorbia tehuacana,981,228
Euphorbia tehuacana,981,16
Euphorbia tehuacana,981,112
Euphorbia tehuacana,981,319
Euphorbia tehuacana,981,69
Euphorbia tehuacana,981,17
Euphorbia tehuacana,981,57
Euphorbia tehuacana,981,296
Euphorbia tehuacana,981,158
Euphorbia tehuacana,981,326
Euphorbia tehuacana,981,316
Euphorbia tehuacana,981,59
Euphorbia tehuacana,981,164
Euphorbia tehuacana,981,245
Euphorbia tehuacana,981,95
Euphorbia tehuacana,981,169
Euphorbia tehuacana,981,246
Euphorbia tehuacana,981,205
Euphorbia tehuacana,981,39
Euphorbia tehuacana,981,53
Euphorbia tehuacana,981,160
Euphorbia tehuacana,981,22
Euphorbia tehuacana,981,115
Euphorbia tehuacana,981,312
