Conductive-Non conductive
-0.2711864406779661 1
-0.16666666666666666 1
-0.8809523809523809 1
-0.15384615384615385 1
-0.11988304093567251 -0.4344262295081967
-0.8214285714285714 1
-0.4298245614035088 -0.22272727272727272
1 1
1 1
-0.19927536231884058 1
-0.12626262626262627 1
-0.4 1
-0.050699300699300696 1
-0.16666666666666666 -0.27941176470588236
-0.07532956685499058 -0.9253731343283582
-0.11666666666666667 -0.7222222222222222
-0.05714285714285714 -0.1388888888888889
-0.07341269841269842 -0.921875
-0.12962962962962962 1
1 1
-0.43548387096774194 1
-0.11635220125786164 1
-0.09533898305084745 -0.9242424242424242
-0.5 1
-0.05740740740740741 -0.20384615384615384
1 1
-0.11637931034482758 1
-0.16470588235294117 -0.9090909090909091
-0.29743589743589743 -0.4696969696969697
1 1
-0.27976190476190477 1
-0.4583333333333333 1
1 1
-0.12962962962962962 -0.44029850746268656
1 1
0.0 1
-0.868421052631579 -0.3918918918918919
-0.0549645390070922 -0.9137931034482759
-0.1906779661016949 -0.29444444444444445
-0.1111111111111111 -0.5454545454545454
1 1
-0.11029411764705882 -0.4298245614035088
-0.20098039215686275 -0.24019607843137256
1 1
-0.42592592592592593 -0.9090909090909091
1 1
-0.6666666666666666 1
-0.21875 1
1 1
-0.8958333333333334 1
1 1
1 1
1 1
-0.2654320987654321 1
-0.19736842105263158 1
1 1
1 1
-0.11290322580645161 1
-0.14102564102564102 1
1 1
-0.9019607843137255 1
1 1
-0.4393939393939394 -0.9253731343283582
-0.46875 1
1 1
1 1
1 1
-0.21428571428571427 1
1 1
-0.35714285714285715 -0.32098765432098764
1 1
-0.45384615384615384 -0.9242424242424242
-0.13829787234042554 1
-0.375 1
-0.038461538461538464 -0.17222222222222222
-0.022727272727272728 -0.1346153846153846
-0.42 1
1 1
-0.9242424242424242 1
1 1
1 1
1 1
-0.41304347826086957 -0.2159090909090909
-0.09659090909090909 -0.9019607843137255
1 1
-0.8484848484848485 1
-0.8913043478260869 1
1 1
1 1
-0.10772833723653395 -0.9253731343283582
-0.15625 -0.38235294117647056
-0.25 -0.19186046511627908
1 1
1 1
1 1
-0.08032786885245902 -0.9285714285714286
-0.22727272727272727 1
0.6666666666666666 0.0
-0.06851851851851852 -0.171875
1 1
1 1
-0.8863636363636364 1
-0.08333333333333333 -0.9253731343283582
-0.09523809523809523 -0.9019607843137255
1 1
1 1
-0.9230769230769231 1
-0.11989795918367346 -0.9193548387096774
-0.20967741935483872 -0.2857142857142857
-0.11337868480725624 -0.29850746268656714
1 1
1 1
-0.13440860215053763 -0.28717948717948716
-0.15789473684210525 1
1 1
1 1
-0.36363636363636365 1
1 1
1 1
-0.24390243902439024 1
-0.0787037037037037 1
-0.4344262295081967 1
-0.26900584795321636 -0.9152542372881356
-0.4090909090909091 1
-0.8275862068965517 1
-0.13953488372093023 1
-0.32608695652173914 -0.7916666666666666
-0.155 -0.8863636363636364
-0.05555555555555555 -0.782608695652174
1 1
-0.25833333333333336 -0.8809523809523809
1 1
-0.1423728813559322 1
-0.46153846153846156 1
-0.20238095238095238 1
1 1
1 1
-0.868421052631579 1
-0.9242424242424242 1
1 1
-0.2711864406779661 -0.43333333333333335
0.6666666666666666 0.0
-0.06727272727272728 -0.4365079365079365
-0.4375 1
-0.17 -0.8214285714285714
-0.159375 -0.44029850746268656
-0.11487481590574374 1
1 1
-0.34 1
 
