Conductive-Non conductive
-0.05034965034965035 1
-0.08957654723127036 -0.49682539682539684
-0.04755244755244755 -0.96
1 1
-0.8888888888888888 1
-0.019321597252039503 -0.15783664459161148
-0.09868421052631579 -0.921875
1 1
-0.09 1
-0.0274442538593482 -0.46825396825396826
1 1
-0.3 1
-0.0696969696969697 -0.96875
-0.030522088353413655 1
-0.9032258064516129 1
-0.4473684210526316 1
-0.02973145780051151 1
-0.2905982905982906 1
-0.12413793103448276 1
-0.4230769230769231 1
1 1
-0.023288749016522423 -0.06079545454545455
0.0 1
1 1
-0.10865191146881288 -0.3022222222222222
-0.030344202898550724 -0.3132183908045977
-0.018209876543209876 1
-0.3181818181818182 1
-0.02603291904601948 -0.2400398406374502
0.5 0.5
-0.09845132743362832 -0.9583333333333334
-0.4897959183673469 1
-0.036825396825396824 -0.11160714285714286
1 1
-0.06346153846153846 -0.2452153110047847
0.0 0.0
-0.08978675645342311 1
-0.027352941176470587 1
-0.025959860383944152 -0.09219512195121951
1 1
-0.020558725162305724 -0.06829377519032691
1 1
-0.10344827586206896 1
-0.0548469387755102 1
-0.046875 -0.09223300970873786
-0.0803030303030303 -0.31654676258992803
-0.8148148148148148 1
-0.057291666666666664 -0.3238095238095238
-0.020655998184088073 -0.05941901408450704
-0.05495689655172414 1
1 1
1 1
-0.43333333333333335 -0.4666666666666667
-0.026927437641723357 -0.23731884057971014
1 1
-0.03898635477582846 -0.9673202614379085
-0.275 -0.45121951219512196
1 1
-0.05807743658210948 1
1 1
-0.024997210132797678 -0.9851632047477745
1 1
-0.8611111111111112 1
-0.018724508713385244 -0.16028708133971292
-0.1951219512195122 -0.31007751937984496
-0.14160401002506265 -0.9637681159420289
-0.03717850776674306 -0.3284552845528455
-0.05488721804511278 1
-0.09122085048010974 -0.3273809523809524
1 1
-0.01896633475580844 -0.12022292993630573
-0.037815126050420166 1
-0.027777777777777776 1
-0.04817275747508306 -0.9494949494949495
1 1
-0.9615384615384616 1
1 1
-0.05683122847301952 -0.176056338028169
-0.020958971824023728 -0.18934169278996865
-0.05704407951598963 1
-0.1074561403508772 -0.2956989247311828
-0.01513840830449827 -0.4877675840978593
-0.037209302325581395 -0.9122807017543859
1 1
-0.115 1
-0.14583333333333334 1
-0.037549407114624504 1
1 1
-0.06564245810055866 1
1 1
-0.1010989010989011 1
-0.026877572016460904 -0.06422222222222222
-0.17222222222222222 -0.2826086956521739
1 1
-0.030763239875389408 -0.9615384615384616
1 -0.24
-0.05805471124620061 -0.1
-0.01652892561983471 1
-0.018867924528301886 -0.9858356940509915
1 1
-0.013326910725754657 -0.12126865671641791
-0.4393939393939394 1
1 1
1 1
-0.029625779625779627 -0.08064516129032258
-0.09350649350649351 1
-0.06567328918322296 1
1 1
0.05555555555555555 1
-0.030166435506241332 -0.07668566001899335
-0.75 1
-0.013567251461988304 -0.32619775739041795
-0.9620253164556962 1
-0.02267998335414066 -0.24751243781094528
-0.12643678160919541 1
-0.03121516164994426 -0.091324200913242
1 1
1 1
-0.12264150943396226 -0.3242424242424242
-0.020139955623826592 -0.3225806451612903
-0.012562421972534332 -0.07514009169638308
1 1
-0.023544303797468354 -0.32037037037037036
-0.022078804347826088 -0.47315436241610737
1 1
-0.025921787709497206 1
-0.1392857142857143 1
1 1
-0.03400098911968348 -0.07999044890162368
-0.45 1
-0.026608695652173914 -0.9803149606299213
-0.09104938271604938 1
-0.04919678714859438 1
-0.24390243902439024 1
1 1
1 1
-0.38461538461538464 1
1 1
-0.019600725952813067 -0.10936955764541971
-0.018518518518518517 -0.08057090239410682
0.25 -0.16666666666666666
 
