Species,Sample,Number of cells
Euphorbia cyri,973,75
Euphorbia cyri,973,316
Euphorbia cyri,973,75
Euphorbia cyri,973,48
Euphorbia cyri,973,45
Euphorbia cyri,973,307
Euphorbia cyri,973,64
Euphorbia cyri,973,1
Euphorbia cyri,973,69
Euphorbia cyri,973,127
Euphorbia cyri,973,1
Euphorbia cyri,973,6
Euphorbia cyri,973,160
Euphorbia cyri,973,174
Euphorbia cyri,973,31
Euphorbia cyri,973,77
Euphorbia cyri,973,184
Euphorbia cyri,973,41
Euphorbia cyri,973,33
Euphorbia cyri,973,53
Euphorbia cyri,973,1
Euphorbia cyri,973,235
Euphorbia cyri,973,3
Euphorbia cyri,973,34
Euphorbia cyri,973,77
Euphorbia cyri,973,118
Euphorbia cyri,973,234
Euphorbia cyri,973,23
Euphorbia cyri,973,254
Euphorbia cyri,973,160
Euphorbia cyri,973,120
Euphorbia cyri,973,99
Euphorbia cyri,973,202
Euphorbia cyri,973,29
Euphorbia cyri,973,212
Euphorbia cyri,973,154
Euphorbia cyri,973,107
Euphorbia cyri,973,162
Euphorbia cyri,973,264
Euphorbia cyri,973,32
Euphorbia cyri,973,332
Euphorbia cyri,973,151
Euphorbia cyri,973,123
Euphorbia cyri,973,162
Euphorbia cyri,973,264
Euphorbia cyri,973,141
Euphorbia cyri,973,27
Euphorbia cyri,973,207
Euphorbia cyri,973,299
Euphorbia cyri,973,131
Euphorbia cyri,973,25
Euphorbia cyri,973,151
Euphorbia cyri,973,61
Euphorbia cyri,973,299
Euphorbia cyri,973,16
Euphorbia cyri,973,153
Euphorbia cyri,973,42
Euphorbia cyri,973,148
Euphorbia cyri,973,227
Euphorbia cyri,973,30
Euphorbia cyri,973,337
Euphorbia cyri,973,155
Euphorbia cyri,973,36
Euphorbia cyri,973,214
Euphorbia cyri,973,45
Euphorbia cyri,973,138
Euphorbia cyri,973,254
Euphorbia cyri,973,203
Euphorbia cyri,973,170
Euphorbia cyri,973,145
Euphorbia cyri,973,321
Euphorbia cyri,973,134
Euphorbia cyri,973,233
Euphorbia cyri,973,99
Euphorbia cyri,973,136
Euphorbia cyri,973,78
Euphorbia cyri,973,7
Euphorbia cyri,973,146
Euphorbia cyri,973,323
Euphorbia cyri,973,211
Euphorbia cyri,973,64
Euphorbia cyri,973,328
Euphorbia cyri,973,57
Euphorbia cyri,973,139
Euphorbia cyri,973,44
Euphorbia cyri,973,165
Euphorbia cyri,973,56
Euphorbia cyri,973,151
Euphorbia cyri,973,190
Euphorbia cyri,973,119
Euphorbia cyri,973,71
Euphorbia cyri,973,314
Euphorbia cyri,973,48
Euphorbia cyri,973,28
Euphorbia cyri,973,130
Euphorbia cyri,973,9
Euphorbia cyri,973,248
Euphorbia cyri,973,234
Euphorbia cyri,973,353
Euphorbia cyri,973,59
Euphorbia cyri,973,208
Euphorbia cyri,973,67
Euphorbia cyri,973,151
Euphorbia cyri,973,12
Euphorbia cyri,973,321
Euphorbia cyri,973,61
Euphorbia cyri,973,162
Euphorbia cyri,973,62
Euphorbia cyri,973,37
Euphorbia cyri,973,336
Euphorbia cyri,973,12
Euphorbia cyri,973,329
Euphorbia cyri,973,79
Euphorbia cyri,973,259
Euphorbia cyri,973,63
Euphorbia cyri,973,81
Euphorbia cyri,973,18
Euphorbia cyri,973,150
Euphorbia cyri,973,112
Euphorbia cyri,973,219
Euphorbia cyri,973,325
Euphorbia cyri,973,8
Euphorbia cyri,973,182
Euphorbia cyri,973,150
Euphorbia cyri,973,11
Euphorbia cyri,973,203
Euphorbia cyri,973,60
Euphorbia cyri,973,159
Euphorbia cyri,973,360
Euphorbia cyri,973,164
Euphorbia cyri,973,254
Euphorbia cyri,973,88
Euphorbia cyri,973,94
Euphorbia cyri,973,63
Euphorbia cyri,973,17
Euphorbia cyri,973,20
Euphorbia cyri,973,27
Euphorbia cyri,973,149
Euphorbia cyri,973,327
Euphorbia cyri,973,192
Euphorbia cyri,973,6
