Conductive-Non conductive
-0.12121212121212122 -0.8979591836734694
-0.1875 1
-0.1220614828209765 1
-0.06218905472636816 -0.9793103448275862
-0.08189655172413793 1
-0.46875 1
-0.061079545454545456 -0.9324324324324325
-0.05379746835443038 -0.47752808988764045
-0.3333333333333333 1
-0.4375 1
-0.043243243243243246 -0.22131147540983606
-0.09259259259259259 1
-0.05334538878842676 -0.9707602339181286
-0.29069767441860467 -0.9659090909090909
0.0 1
-0.16666666666666666 1
-0.11904761904761904 1
-0.045066045066045064 1
-0.8571428571428571 1
-0.09836065573770492 -0.9253731343283582
-0.052 1
-0.06648936170212766 1
-0.02078740157480315 -0.3087248322147651
1 1
-0.13003663003663005 1
-0.18137254901960784 1
-0.033094098883572565 -0.1482758620689655
-0.07534807534807535 -0.48333333333333334
-0.06504065040650407 -0.946236559139785
-0.07575757575757576 -0.48639455782312924
-0.0380952380952381 -0.18823529411764706
-0.04748338081671415 1
-0.0345679012345679 -0.967741935483871
-0.05533596837944664 -0.44871794871794873
1 1
-0.1419753086419753 1
-0.024296296296296295 -0.47468354430379744
0.0 -0.16666666666666666
-0.18396226415094338 -0.3148148148148148
-0.04913880445795339 -0.188
-0.023175696836830566 1
-0.08726415094339622 1
-0.08333333333333333 -0.9090909090909091
-0.0923202614379085 -0.47202797202797203
-0.19753086419753085 -0.8275862068965517
-0.04121863799283154 -0.4785714285714286
-0.04205607476635514 -0.9596774193548387
-0.0746031746031746 -0.44805194805194803
-0.022620689655172412 1
1 1
-0.0960591133004926 1
-0.42 1
-0.04846153846153846 -0.46396396396396394
-0.23655913978494625 1
-0.034156378600823045 1
-0.15 1
-0.09146341463414634 1
-0.07916666666666666 1
-0.2939068100358423 -0.3225806451612903
-0.04552469135802469 -0.2442528735632184
-0.04832214765100671 -0.14978902953586498
-0.7 1
-0.13333333333333333 -0.9090909090909091
-0.10434782608695652 1
-0.06993006993006994 -0.46825396825396826
-0.07142857142857142 -0.36666666666666664
-0.0630673674151935 -0.9710982658959537
-0.0505175983436853 -0.4885057471264368
-0.14682539682539683 -0.9710982658959537
-0.0803680981595092 -0.31176470588235294
-0.3008849557522124 1
-0.08123791102514506 1
-0.06199770378874857 1
-0.1249024199843872 -0.48404255319148937
-0.4375 -0.9230769230769231
-0.31351351351351353 -0.489247311827957
1 1
-0.2073170731707317 -0.9411764705882353
-0.07288135593220339 -0.9606299212598425
-0.13333333333333333 -0.38235294117647056
-0.3068181818181818 -0.9444444444444444
0.16666666666666666 0.25
1 1
-0.030961791831357048 -0.9685534591194969
-0.2826086956521739 1
-0.07846153846153846 1
-0.8275862068965517 1
-0.039473684210526314 -0.23830409356725146
-0.08695652173913043 -0.23958333333333334
-0.04792043399638336 1
1 1
-0.024259609325771897 -0.2372611464968153
-0.10351966873706005 1
-0.2088235294117647 1
-0.07425742574257425 -0.2993827160493827
-0.07407407407407407 -0.22807017543859648
-0.7222222222222222 1
0.0 0.0
-0.08333333333333333 1
-0.034085213032581455 -0.3140495867768595
-0.03247450348899624 -0.32051282051282054
-0.09350649350649351 -0.4666666666666667
-0.04227405247813411 -0.11700680272108843
-0.04256410256410256 -0.10492700729927007
-0.038461538461538464 -0.9586776859504132
-0.096875 1
-0.1380952380952381 -0.9333333333333333
-0.04142204827136334 -0.9698795180722891
-0.0761904761904762 -0.9019607843137255
-0.043560606060606064 -0.9659863945578231
-0.061764705882352944 1
-0.035093167701863354 -0.4776536312849162
-0.21428571428571427 -0.47
-0.05288985823336968 -0.47202797202797203
-0.024893314366998577 -0.45604395604395603
-0.46842105263157896 1
-0.031818181818181815 -0.9723756906077348
-0.132 1
-0.04411764705882353 -0.24152542372881355
1 1
-0.040154984149348365 -0.23333333333333334
 
