Conductive-Non conductive
-0.5454545454545454 1
-0.01228609039052216 1
1 1
-0.14705882352941177 1
-0.007107320540156361 1
-0.08223684210526316 1
-0.04728132387706856 1
-0.11904761904761904 1
-0.10493827160493827 1
-0.019642857142857142 -0.9802371541501976
-0.02387914230019493 1
-0.03502469690166143 1
-0.040983606557377046 -0.4452054794520548
-0.6428571428571429 -0.22
-0.001429388221841052 -0.15914786967418545
-0.020061728395061727 -0.1961038961038961
-0.003472222222222222 -0.238
-0.03453453453453453 1
-0.01616954474097331 -0.15876777251184834
-0.07452574525745258 1
-0.046094750320102434 1
-0.017732267732267732 1
-0.012874155133569359 1
-0.27860696517412936 1
-0.22727272727272727 1
-0.011744186046511628 -0.9803149606299213
-0.00858843537414966 -0.3252873563218391
-0.03636363636363636 -0.42592592592592593
1 1
-0.868421052631579 1
-0.01628001628001628 -0.4827586206896552
-0.00808913308913309 -0.4951219512195122
-0.035238095238095235 1
-0.009645877378435518 1
-0.0072231139646869984 -0.16510903426791276
-0.08506944444444445 1
-0.041192411924119245 1
-0.010592348827642945 1
1 1
-0.051992225461613216 1
-0.112 1
1 1
-0.22727272727272727 1
-0.0659090909090909 -0.16666666666666666
-0.5 1
-0.015456579214968477 -0.1807909604519774
-0.009876543209876543 1
-0.010078157136980667 -0.23554913294797689
-0.007177033492822967 1
-0.2857142857142857 1
-0.011011904761904763 -0.49029126213592233
-0.032502708559046585 -0.32098765432098764
-0.015151515151515152 -0.201980198019802
1 1
-0.01384297520661157 -0.2446043165467626
-0.7368421052631579 1
1 1
1 1
-0.006136363636363636 -0.9777777777777777
-0.020527859237536656 -0.9655172413793104
-0.11538461538461539 1
1 1
-0.02433862433862434 -0.13942071674030437
0.25 1
-0.018880980624752866 1
-0.05067567567567568 1
0.5 1
-0.0246 1
-0.1346153846153846 1
-0.020161290322580645 1
1 1
-0.010946502057613168 1
-0.013085399449035813 1
-0.140625 1
1 1
-0.017088055797733218 -0.10413311862587225
-0.012205387205387205 -0.22899159663865545
-0.06363636363636363 1
-0.017966360856269112 1
-0.057692307692307696 1
-0.03667355371900827 1
-0.02727272727272727 -0.15930018416206262
1 1
-0.10377358490566038 1
-0.018823529411764704 1
-0.009456264775413711 -0.24818840579710144
-0.7368421052631579 1
-0.011603620329542817 1
1 1
-0.026991150442477876 1
-0.01057014734144779 -0.1930769230769231
-0.03333333333333333 -0.28431372549019607
-0.019736842105263157 -0.2434640522875817
-0.018072289156626505 1
-0.04814814814814815 -0.31693989071038253
-0.14705882352941177 1
-0.020729684908789386 -0.24382716049382716
-0.009333333333333334 -0.10834321866350335
-0.11052631578947368 1
-0.014569686017619154 -0.4888475836431227
 
