Species,Sample,Number of cells
Euphorbia colligata,867,221
Euphorbia colligata,867,82
Euphorbia colligata,867,123
Euphorbia colligata,867,42
Euphorbia colligata,867,162
Euphorbia colligata,867,118
Euphorbia colligata,867,75
Euphorbia colligata,867,130
Euphorbia colligata,867,55
Euphorbia colligata,867,83
Euphorbia colligata,867,34
Euphorbia colligata,867,20
Euphorbia colligata,867,74
Euphorbia colligata,867,235
Euphorbia colligata,867,189
Euphorbia colligata,867,170
Euphorbia colligata,867,137
Euphorbia colligata,867,217
Euphorbia colligata,867,140
Euphorbia colligata,867,43
Euphorbia colligata,867,291
Euphorbia colligata,867,27
Euphorbia colligata,867,11
Euphorbia colligata,867,112
Euphorbia colligata,867,21
Euphorbia colligata,867,203
Euphorbia colligata,867,274
Euphorbia colligata,867,97
Euphorbia colligata,867,42
Euphorbia colligata,867,15
Euphorbia colligata,867,38
Euphorbia colligata,867,133
Euphorbia colligata,867,148
Euphorbia colligata,867,54
Euphorbia colligata,867,187
Euphorbia colligata,867,317
Euphorbia colligata,867,322
Euphorbia colligata,867,107
Euphorbia colligata,867,90
Euphorbia colligata,867,295
Euphorbia colligata,867,166
Euphorbia colligata,867,42
Euphorbia colligata,867,274
Euphorbia colligata,867,26
Euphorbia colligata,867,163
Euphorbia colligata,867,351
Euphorbia colligata,867,64
Euphorbia colligata,867,127
Euphorbia colligata,867,152
Euphorbia colligata,867,73
Euphorbia colligata,867,204
Euphorbia colligata,867,244
Euphorbia colligata,867,25
Euphorbia colligata,867,284
Euphorbia colligata,867,58
Euphorbia colligata,867,170
Euphorbia colligata,867,343
Euphorbia colligata,867,286
Euphorbia colligata,867,97
Euphorbia colligata,867,81
Euphorbia colligata,867,210
Euphorbia colligata,867,198
Euphorbia colligata,867,179
Euphorbia colligata,867,92
Euphorbia colligata,867,11
Euphorbia colligata,867,51
Euphorbia colligata,867,86
Euphorbia colligata,867,60
Euphorbia colligata,867,48
Euphorbia colligata,867,77
Euphorbia colligata,867,24
Euphorbia colligata,867,322
Euphorbia colligata,867,125
Euphorbia colligata,867,27
Euphorbia colligata,867,13
Euphorbia colligata,867,266
Euphorbia colligata,867,31
Euphorbia colligata,867,264
Euphorbia colligata,867,188
Euphorbia colligata,867,415
Euphorbia colligata,867,72
Euphorbia colligata,867,232
Euphorbia colligata,867,91
Euphorbia colligata,867,213
Euphorbia colligata,867,212
Euphorbia colligata,867,171
Euphorbia colligata,867,81
Euphorbia colligata,867,73
Euphorbia colligata,867,23
Euphorbia colligata,867,99
Euphorbia colligata,867,21
Euphorbia colligata,867,164
Euphorbia colligata,867,18
Euphorbia colligata,867,24
Euphorbia colligata,867,438
Euphorbia colligata,867,259
Euphorbia colligata,867,275
Euphorbia colligata,867,74
Euphorbia colligata,867,203
Euphorbia colligata,867,44
Euphorbia colligata,867,15
Euphorbia colligata,867,70
Euphorbia colligata,867,176
Euphorbia colligata,867,99
Euphorbia colligata,867,288
Euphorbia colligata,867,62
Euphorbia colligata,867,162
Euphorbia colligata,867,99
Euphorbia colligata,867,48
Euphorbia colligata,867,49
Euphorbia colligata,867,52
Euphorbia colligata,867,49
Euphorbia colligata,867,94
Euphorbia colligata,867,97
Euphorbia colligata,867,96
Euphorbia colligata,867,95
Euphorbia colligata,867,13
Euphorbia colligata,867,326
Euphorbia colligata,867,82
Euphorbia colligata,867,67
Euphorbia colligata,867,28
Euphorbia colligata,867,231
Euphorbia colligata,867,103
Euphorbia colligata,867,393
Euphorbia colligata,867,15
Euphorbia colligata,867,167
Euphorbia colligata,867,45
Euphorbia colligata,867,271
Euphorbia colligata,867,241
Euphorbia colligata,867,94
Euphorbia colligata,867,307
Euphorbia colligata,867,68
Euphorbia colligata,867,41
Euphorbia colligata,867,62
Euphorbia colligata,867,261
Euphorbia colligata,867,165
Euphorbia colligata,867,18
Euphorbia colligata,867,65
Euphorbia colligata,867,354
Euphorbia colligata,867,17
Euphorbia colligata,867,160
Euphorbia colligata,867,162
Euphorbia colligata,867,19
Euphorbia colligata,867,114
Euphorbia colligata,867,92
Euphorbia colligata,867,329
Euphorbia colligata,867,103
Euphorbia colligata,867,52
Euphorbia colligata,867,52
Euphorbia colligata,867,288
Euphorbia colligata,867,15
Euphorbia colligata,867,271
Euphorbia colligata,867,15
Euphorbia colligata,867,156
Euphorbia colligata,867,54
Euphorbia colligata,867,67
Euphorbia colligata,867,281
Euphorbia colligata,867,68
Euphorbia colligata,867,11
Euphorbia colligata,867,165
Euphorbia colligata,867,41
Euphorbia colligata,867,190
