Conductive-Non conductive
-0.024545454545454544 -0.07857142857142857
1 1
-0.3709677419354839 1
-0.08187134502923976 -0.297029702970297
1 0.0
-0.07639419404125286 -0.23412698412698413
1 1
-0.28378378378378377 1
-0.42857142857142855 1
-0.15342465753424658 -0.4473684210526316
-0.9206349206349206 1
-0.13067552602436322 1
1 1
-0.22265625 1
-0.96 1
-0.30180180180180183 1
1 1
-0.08360655737704918 -0.9618320610687023
-0.07272727272727272 -0.4791666666666667
1 1
-0.9038461538461539 1
1 1
-0.22286821705426357 1
-0.21610169491525424 1
-0.9375 1
1 1
-0.23076923076923078 1
-0.9333333333333333 -0.47297297297297297
-0.07172643869891576 -0.957983193277311
1 1
-0.11333333333333333 -0.9090909090909091
1 1
-0.06406926406926407 -0.3008849557522124
-0.07028265851795264 -0.46875
-0.7222222222222222 -0.38235294117647056
-0.5 -0.16666666666666666
1 1
1 1
1 1
-0.24107142857142858 1
1 1
-0.11818181818181818 -0.9166666666666666
-0.060023310023310024 1
-0.782608695652174 1
1 1
-0.07520661157024794 -0.4689922480620155
-0.11170212765957446 1
-0.9180327868852459 1
-0.075 1
-0.45918367346938777 1
-0.145 -0.8863636363636364
1 1
-0.11455525606469003 -0.46396396396396394
-0.868421052631579 1
-0.2076271186440678 -0.16896551724137931
-0.2708333333333333 -0.9
1 1
-0.2857142857142857 -0.42857142857142855
-0.1801526717557252 -0.3107769423558897
-0.9019607843137255 1
-0.15357142857142858 -0.4491525423728814
1 1
-0.17254901960784313 1
-0.2850877192982456 1
-0.056074766355140186 -0.957983193277311
-0.08024691358024691 -0.9444444444444444
-0.192 1
-0.047619047619047616 1
1 1
-0.11428571428571428 1
-0.28169014084507044 1
-0.7 1
1 1
-0.43846153846153846 1
-0.045454545454545456 1
-0.23 1
1 1
-0.07647058823529412 1
-0.2787878787878788 -0.9122807017543859
-0.12030075187969924 -0.46
1 1
-0.07678571428571429 -0.3137254901960784
-0.31196581196581197 1
-0.05459770114942529 -0.9489795918367347
-0.9090909090909091 1
-0.15517241379310345 -0.4344262295081967
1 1
1 1
-0.10167714884696016 -0.956140350877193
-0.07916666666666666 -0.27692307692307694
-0.3102310231023102 1
-0.9438202247191011 1
-0.8648648648648649 1
-0.25833333333333336 1
-0.18064516129032257 -0.3157894736842105
-0.04862119013062409 -0.17719298245614035
1 1
1 1
-0.3152454780361757 1
1 -0.6153846153846154
1 1
-0.12260127931769722 -0.4784172661870504
1 1
1 1
-0.3181818181818182 1
-0.21534653465346534 -0.3235294117647059
-0.2916666666666667 1
-0.10090361445783133 1
1 1
-0.12093023255813953 -0.8936170212765957
-0.09879032258064516 -0.23046875
-0.04208754208754209 -0.9568965517241379
-0.03518518518518519 -0.9107142857142857
1 1
-0.07636363636363637 1
-0.27011494252873564 1
1 1
-0.055790363482671176 -0.16565656565656567
-0.05102040816326531 -0.2037037037037037
-0.04741379310344827 -0.3049095607235142
1 1
0.5 0.6666666666666666
1 1
-0.10377358490566038 1
-0.21825396825396826 1
1 1
-0.12721584984358708 -0.31678486997635935
-0.1797752808988764 1
-0.05032467532467533 1
-0.08333333333333333 1
1 1
-0.1175115207373272 1
-0.24494949494949494 1
-0.17391304347826086 1
-0.09927140255009108 1
-0.1130952380952381 -0.22413793103448276
