Species,Sample,Number of cells
Euphorbia finkii,917,23
Euphorbia finkii,917,31
Euphorbia finkii,917,105
Euphorbia finkii,917,133
Euphorbia finkii,917,56
Euphorbia finkii,917,83
Euphorbia finkii,917,171
Euphorbia finkii,917,80
Euphorbia finkii,917,63
Euphorbia finkii,917,32
Euphorbia finkii,917,173
Euphorbia finkii,917,65
Euphorbia finkii,917,135
Euphorbia finkii,917,81
Euphorbia finkii,917,171
Euphorbia finkii,917,8
Euphorbia finkii,917,67
Euphorbia finkii,917,31
Euphorbia finkii,917,30
Euphorbia finkii,917,133
Euphorbia finkii,917,26
Euphorbia finkii,917,95
Euphorbia finkii,917,143
Euphorbia finkii,917,123
Euphorbia finkii,917,55
Euphorbia finkii,917,263
Euphorbia finkii,917,63
Euphorbia finkii,917,126
Euphorbia finkii,917,81
Euphorbia finkii,917,128
Euphorbia finkii,917,32
Euphorbia finkii,917,56
Euphorbia finkii,917,90
Euphorbia finkii,917,9
Euphorbia finkii,917,47
Euphorbia finkii,917,50
Euphorbia finkii,917,40
Euphorbia finkii,917,119
Euphorbia finkii,917,126
Euphorbia finkii,917,81
Euphorbia finkii,917,52
Euphorbia finkii,917,40
Euphorbia finkii,917,25
Euphorbia finkii,917,39
Euphorbia finkii,917,73
Euphorbia finkii,917,101
Euphorbia finkii,917,129
Euphorbia finkii,917,72
Euphorbia finkii,917,78
Euphorbia finkii,917,211
Euphorbia finkii,917,31
Euphorbia finkii,917,152
Euphorbia finkii,917,98
Euphorbia finkii,917,78
Euphorbia finkii,917,64
Euphorbia finkii,917,18
Euphorbia finkii,917,195
Euphorbia finkii,917,13
Euphorbia finkii,917,117
Euphorbia finkii,917,51
Euphorbia finkii,917,247
Euphorbia finkii,917,9
Euphorbia finkii,917,120
Euphorbia finkii,917,24
Euphorbia finkii,917,134
Euphorbia finkii,917,82
Euphorbia finkii,917,42
Euphorbia finkii,917,27
Euphorbia finkii,917,25
Euphorbia finkii,917,17
Euphorbia finkii,917,162
Euphorbia finkii,917,21
Euphorbia finkii,917,39
Euphorbia finkii,917,127
Euphorbia finkii,917,111
Euphorbia finkii,917,128
Euphorbia finkii,917,159
Euphorbia finkii,917,128
Euphorbia finkii,917,172
Euphorbia finkii,917,70
Euphorbia finkii,917,123
Euphorbia finkii,917,102
Euphorbia finkii,917,114
Euphorbia finkii,917,147
Euphorbia finkii,917,30
Euphorbia finkii,917,103
Euphorbia finkii,917,134
Euphorbia finkii,917,101
Euphorbia finkii,917,91
Euphorbia finkii,917,88
Euphorbia finkii,917,6
Euphorbia finkii,917,15
Euphorbia finkii,917,23
Euphorbia finkii,917,62
Euphorbia finkii,917,109
Euphorbia finkii,917,12
Euphorbia finkii,917,178
Euphorbia finkii,917,11
Euphorbia finkii,917,125
Euphorbia finkii,917,30
Euphorbia finkii,917,109
Euphorbia finkii,917,86
Euphorbia finkii,917,8
Euphorbia finkii,917,104
Euphorbia finkii,917,260
Euphorbia finkii,917,112
Euphorbia finkii,917,93
Euphorbia finkii,917,40
Euphorbia finkii,917,176
Euphorbia finkii,917,7
Euphorbia finkii,917,46
Euphorbia finkii,917,21
Euphorbia finkii,917,75
Euphorbia finkii,917,174
Euphorbia finkii,917,16
Euphorbia finkii,917,24
Euphorbia finkii,917,16
Euphorbia finkii,917,23
Euphorbia finkii,917,165
Euphorbia finkii,917,118
Euphorbia finkii,917,30
Euphorbia finkii,917,106
Euphorbia finkii,917,18
Euphorbia finkii,917,18
Euphorbia finkii,917,220
Euphorbia finkii,917,101
Euphorbia finkii,917,21
Euphorbia finkii,917,157
Euphorbia finkii,917,55
Euphorbia finkii,917,182
Euphorbia finkii,917,23
Euphorbia finkii,917,9
Euphorbia finkii,917,32
Euphorbia finkii,917,36
Euphorbia finkii,917,43
Euphorbia finkii,917,60
Euphorbia finkii,917,47
Euphorbia finkii,917,15
Euphorbia finkii,917,170
Euphorbia finkii,917,87
Euphorbia finkii,917,23
Euphorbia finkii,917,155
Euphorbia finkii,917,108
Euphorbia finkii,917,250
Euphorbia finkii,917,123
Euphorbia finkii,917,213
Euphorbia finkii,917,87
Euphorbia finkii,917,197
Euphorbia finkii,917,95
Euphorbia finkii,917,163
Euphorbia finkii,917,159
Euphorbia finkii,917,17
Euphorbia finkii,917,298
Euphorbia finkii,917,49
Euphorbia finkii,917,66
Euphorbia finkii,917,140
Euphorbia finkii,917,269
Euphorbia finkii,917,103
Euphorbia finkii,917,184
Euphorbia finkii,917,73
Euphorbia finkii,917,149
Euphorbia finkii,917,29
Euphorbia finkii,917,73
Euphorbia finkii,917,254
Euphorbia finkii,917,19
Euphorbia finkii,917,73
Euphorbia finkii,917,227
Euphorbia finkii,917,20
Euphorbia finkii,917,30
Euphorbia finkii,917,40
Euphorbia finkii,917,120
Euphorbia finkii,917,92
Euphorbia finkii,917,35
Euphorbia finkii,917,286
Euphorbia finkii,917,17
Euphorbia finkii,917,50
Euphorbia finkii,917,170
