Species,Sample,Number of cells
Euphorbia lomelii,853,15
Euphorbia lomelii,853,27
Euphorbia lomelii,853,25
Euphorbia lomelii,853,3
Euphorbia lomelii,853,22
Euphorbia lomelii,853,14
Euphorbia lomelii,853,8
Euphorbia lomelii,853,21
Euphorbia lomelii,853,22
Euphorbia lomelii,853,16
Euphorbia lomelii,853,12
Euphorbia lomelii,853,24
Euphorbia lomelii,853,24
Euphorbia lomelii,853,22
Euphorbia lomelii,853,11
Euphorbia lomelii,853,25
Euphorbia lomelii,853,7
Euphorbia lomelii,853,18
Euphorbia lomelii,853,17
Euphorbia lomelii,853,4
Euphorbia lomelii,853,27
Euphorbia lomelii,853,11
Euphorbia lomelii,853,24
Euphorbia lomelii,853,18
Euphorbia lomelii,853,25
Euphorbia lomelii,853,27
Euphorbia lomelii,853,28
Euphorbia lomelii,853,25
Euphorbia lomelii,853,29
Euphorbia lomelii,853,34
Euphorbia lomelii,853,19
Euphorbia lomelii,853,33
Euphorbia lomelii,853,22
Euphorbia lomelii,853,20
Euphorbia lomelii,853,27
Euphorbia lomelii,853,25
Euphorbia lomelii,853,22
Euphorbia lomelii,853,20
Euphorbia lomelii,853,24
Euphorbia lomelii,853,18
Euphorbia lomelii,853,27
Euphorbia lomelii,853,25
Euphorbia lomelii,853,27
Euphorbia lomelii,853,14
Euphorbia lomelii,853,7
Euphorbia lomelii,853,30
Euphorbia lomelii,853,19
Euphorbia lomelii,853,6
Euphorbia lomelii,853,19
Euphorbia lomelii,853,31
Euphorbia lomelii,853,16
Euphorbia lomelii,853,28
Euphorbia lomelii,853,16
Euphorbia lomelii,853,27
Euphorbia lomelii,853,16
Euphorbia lomelii,853,19
Euphorbia lomelii,853,24
Euphorbia lomelii,853,23
Euphorbia lomelii,853,17
Euphorbia lomelii,853,25
Euphorbia lomelii,853,27
Euphorbia lomelii,853,25
Euphorbia lomelii,853,18
Euphorbia lomelii,853,18
Euphorbia lomelii,853,13
Euphorbia lomelii,853,23
Euphorbia lomelii,853,29
Euphorbia lomelii,853,20
Euphorbia lomelii,853,29
Euphorbia lomelii,853,24
Euphorbia lomelii,853,16
Euphorbia lomelii,853,19
Euphorbia lomelii,853,26
Euphorbia lomelii,853,21
Euphorbia lomelii,853,15
Euphorbia lomelii,853,14
Euphorbia lomelii,853,29
Euphorbia lomelii,853,14
Euphorbia lomelii,853,5
Euphorbia lomelii,853,17
Euphorbia lomelii,853,24
Euphorbia lomelii,853,7
Euphorbia lomelii,853,24
Euphorbia lomelii,853,16
Euphorbia lomelii,853,25
Euphorbia lomelii,853,18
Euphorbia lomelii,853,23
Euphorbia lomelii,853,4
Euphorbia lomelii,853,28
Euphorbia lomelii,853,16
Euphorbia lomelii,853,11
Euphorbia lomelii,853,22
Euphorbia lomelii,853,26
Euphorbia lomelii,853,9
Euphorbia lomelii,853,24
Euphorbia lomelii,853,21
Euphorbia lomelii,853,7
Euphorbia lomelii,853,15
Euphorbia lomelii,853,24
Euphorbia lomelii,853,22
Euphorbia lomelii,853,20
Euphorbia lomelii,853,13
Euphorbia lomelii,853,15
Euphorbia lomelii,853,19
Euphorbia lomelii,853,19
Euphorbia lomelii,853,16
Euphorbia lomelii,853,6
Euphorbia lomelii,853,12
Euphorbia lomelii,853,23
Euphorbia lomelii,853,9
Euphorbia lomelii,853,11
Euphorbia lomelii,853,23
Euphorbia lomelii,853,35
Euphorbia lomelii,853,32
Euphorbia lomelii,853,21
Euphorbia lomelii,853,12
Euphorbia lomelii,853,5
Euphorbia lomelii,853,27
Euphorbia lomelii,853,34
Euphorbia lomelii,853,35
Euphorbia lomelii,853,28
Euphorbia lomelii,853,33
Euphorbia lomelii,853,33
Euphorbia lomelii,853,22
Euphorbia lomelii,853,34
Euphorbia lomelii,853,34
Euphorbia lomelii,853,35
Euphorbia lomelii,853,35
Euphorbia lomelii,853,33
Euphorbia lomelii,853,23
Euphorbia lomelii,853,31
Euphorbia lomelii,853,22
Euphorbia lomelii,853,21
Euphorbia lomelii,853,10
Euphorbia lomelii,853,9
Euphorbia lomelii,853,36
Euphorbia lomelii,853,23
Euphorbia lomelii,853,30
Euphorbia lomelii,853,33
Euphorbia lomelii,853,14
Euphorbia lomelii,853,31
Euphorbia lomelii,853,35
Euphorbia lomelii,853,33
Euphorbia lomelii,853,13
Euphorbia lomelii,853,34
Euphorbia lomelii,853,28
Euphorbia lomelii,853,33
Euphorbia lomelii,853,17
Euphorbia lomelii,853,25
Euphorbia lomelii,853,10
Euphorbia lomelii,853,32
Euphorbia lomelii,853,30
Euphorbia lomelii,853,9
Euphorbia lomelii,853,22
Euphorbia lomelii,853,16
Euphorbia lomelii,853,32
Euphorbia lomelii,853,35
Euphorbia lomelii,853,13
Euphorbia lomelii,853,14
Euphorbia lomelii,853,35
Euphorbia lomelii,853,29
Euphorbia lomelii,853,36
Euphorbia lomelii,853,29
Euphorbia lomelii,853,40
Euphorbia lomelii,853,24
Euphorbia lomelii,853,30
Euphorbia lomelii,853,36
Euphorbia lomelii,853,41
Euphorbia lomelii,853,33
Euphorbia lomelii,853,34
