Species,Sample,Number of cells
Euphorbia personata,EPM7,30
Euphorbia personata,EPM7,100
Euphorbia personata,EPM7,145
Euphorbia personata,EPM7,10
Euphorbia personata,EPM7,90
Euphorbia personata,EPM7,20
Euphorbia personata,EPM7,143
Euphorbia personata,EPM7,53
Euphorbia personata,EPM7,71
Euphorbia personata,EPM7,104
Euphorbia personata,EPM7,101
Euphorbia personata,EPM7,139
Euphorbia personata,EPM7,7
Euphorbia personata,EPM7,88
Euphorbia personata,EPM7,149
Euphorbia personata,EPM7,48
Euphorbia personata,EPM7,106
Euphorbia personata,EPM7,92
Euphorbia personata,EPM7,42
Euphorbia personata,EPM7,101
Euphorbia personata,EPM7,114
Euphorbia personata,EPM7,46
Euphorbia personata,EPM7,164
Euphorbia personata,EPM7,75
Euphorbia personata,EPM7,41
Euphorbia personata,EPM7,52
Euphorbia personata,EPM7,34
Euphorbia personata,EPM7,62
Euphorbia personata,EPM7,94
Euphorbia personata,EPM7,158
Euphorbia personata,EPM7,156
Euphorbia personata,EPM7,37
Euphorbia personata,EPM7,113
Euphorbia personata,EPM7,70
Euphorbia personata,EPM7,137
Euphorbia personata,EPM7,63
Euphorbia personata,EPM7,143
Euphorbia personata,EPM7,160
Euphorbia personata,EPM7,18
Euphorbia personata,EPM7,39
Euphorbia personata,EPM7,94
Euphorbia personata,EPM7,31
Euphorbia personata,EPM7,59
Euphorbia personata,EPM7,62
Euphorbia personata,EPM7,168
Euphorbia personata,EPM7,44
Euphorbia personata,EPM7,80
Euphorbia personata,EPM7,18
Euphorbia personata,EPM7,66
Euphorbia personata,EPM7,17
Euphorbia personata,EPM7,151
Euphorbia personata,EPM7,19
Euphorbia personata,EPM7,98
Euphorbia personata,EPM7,150
Euphorbia personata,EPM7,96
Euphorbia personata,EPM7,33
Euphorbia personata,EPM7,131
Euphorbia personata,EPM7,162
Euphorbia personata,EPM7,152
Euphorbia personata,EPM7,32
Euphorbia personata,EPM7,7
Euphorbia personata,EPM7,48
Euphorbia personata,EPM7,96
Euphorbia personata,EPM7,71
Euphorbia personata,EPM7,68
Euphorbia personata,EPM7,15
Euphorbia personata,EPM7,26
Euphorbia personata,EPM7,35
Euphorbia personata,EPM7,104
Euphorbia personata,EPM7,100
Euphorbia personata,EPM7,104
Euphorbia personata,EPM7,55
Euphorbia personata,EPM7,69
Euphorbia personata,EPM7,41
Euphorbia personata,EPM7,69
Euphorbia personata,EPM7,155
Euphorbia personata,EPM7,46
Euphorbia personata,EPM7,57
Euphorbia personata,EPM7,34
Euphorbia personata,EPM7,112
Euphorbia personata,EPM7,23
Euphorbia personata,EPM7,67
Euphorbia personata,EPM7,105
Euphorbia personata,EPM7,149
Euphorbia personata,EPM7,82
Euphorbia personata,EPM7,107
Euphorbia personata,EPM7,33
Euphorbia personata,EPM7,37
Euphorbia personata,EPM7,16
Euphorbia personata,EPM7,14
Euphorbia personata,EPM7,20
Euphorbia personata,EPM7,62
Euphorbia personata,EPM7,86
Euphorbia personata,EPM7,46
Euphorbia personata,EPM7,120
Euphorbia personata,EPM7,138
Euphorbia personata,EPM7,15
Euphorbia personata,EPM7,60
Euphorbia personata,EPM7,108
Euphorbia personata,EPM7,24
Euphorbia personata,EPM7,59
Euphorbia personata,EPM7,162
Euphorbia personata,EPM7,23
Euphorbia personata,EPM7,57
Euphorbia personata,EPM7,137
Euphorbia personata,EPM7,138
Euphorbia personata,EPM7,19
Euphorbia personata,EPM7,89
Euphorbia personata,EPM7,64
Euphorbia personata,EPM7,84
Euphorbia personata,EPM7,169
Euphorbia personata,EPM7,70
Euphorbia personata,EPM7,105
Euphorbia personata,EPM7,106
Euphorbia personata,EPM7,6
Euphorbia personata,EPM7,55
Euphorbia personata,EPM7,45
Euphorbia personata,EPM7,46
Euphorbia personata,EPM7,164
Euphorbia personata,EPM7,122
Euphorbia personata,EPM7,84
Euphorbia personata,EPM7,119
Euphorbia personata,EPM7,11
Euphorbia personata,EPM7,18
Euphorbia personata,EPM7,140
Euphorbia personata,EPM7,70
Euphorbia personata,EPM7,177
Euphorbia personata,EPM7,70
Euphorbia personata,EPM7,91
Euphorbia personata,EPM7,38
Euphorbia personata,EPM7,71
Euphorbia personata,EPM7,46
Euphorbia personata,EPM7,142
Euphorbia personata,EPM7,23
Euphorbia personata,EPM7,152
Euphorbia personata,EPM7,150
Euphorbia personata,EPM7,102
Euphorbia personata,EPM7,160
Euphorbia personata,EPM7,92
Euphorbia personata,EPM7,72
Euphorbia personata,EPM7,110
Euphorbia personata,EPM7,14
Euphorbia personata,EPM7,61
Euphorbia personata,EPM7,10
Euphorbia personata,EPM7,158
Euphorbia personata,EPM7,95
Euphorbia personata,EPM7,3
Euphorbia personata,EPM7,68
Euphorbia personata,EPM7,127
Euphorbia personata,EPM7,77
Euphorbia personata,EPM7,38
Euphorbia personata,EPM7,93
Euphorbia personata,EPM7,91
Euphorbia personata,EPM7,80
Euphorbia personata,EPM7,25
Euphorbia personata,EPM7,99
Euphorbia personata,EPM7,76
