Conductive-Non conductive
1 1
-0.6153846153846154 1
-0.3974358974358974 -0.875
1 1
-0.4506172839506173 1
1 1
1 1
-0.2037037037037037 -0.75
-0.9397590361445783 -0.24375
1 1
1 1
-0.45348837209302323 1
-0.19776119402985073 -0.07029177718832891
1 1
1 1
-0.13380281690140844 -0.30180180180180183
1 1
-0.1676470588235294 1
-0.5833333333333334 1
-0.11180124223602485 -0.2831050228310502
1 1
-0.44285714285714284 -0.9295774647887324
-0.44594594594594594 -0.9333333333333333
1 1
1 1
1 1
-0.9425287356321839 1
1 1
-0.13963963963963963 -0.2236842105263158
1 1
-0.16538461538461538 -0.3148148148148148
1 1
-0.44871794871794873 -0.47435897435897434
-0.18271604938271604 1
1 1
-0.48717948717948717 1
1 1
-0.21341463414634146 -0.30522088353413657
1 1
-0.23780487804878048 1
-0.44366197183098594 1
-0.3888888888888889 1
-0.34615384615384615 1
-0.43333333333333335 1
-0.10357142857142858 -0.3106060606060606
-0.875 1
-0.06725146198830409 -0.15040650406504066
-0.09761904761904762 -0.16451612903225807
-0.4473684210526316 -0.2702702702702703
-0.10515873015873016 -0.12723214285714285
1 1
1 1
-0.43846153846153846 -0.9242424242424242
1 0.0
-0.4090909090909091 1
-0.9056603773584906 -0.9433962264150944
1 1
-0.9438202247191011 1
1 1
-0.16119402985074627 1
-0.30416666666666664 1
-0.9404761904761905 -0.9404761904761905
-0.08888888888888889 1
1 1
-0.2125 -0.3045267489711934
-0.17307692307692307 -0.896551724137931
-0.21511627906976744 -0.9438202247191011
-0.4473684210526316 1
1 1
1 1
1 1
-0.11443661971830986 1
-0.13 -0.07222222222222222
-0.30917874396135264 -0.2995169082125604
1 1
1 1
-0.3888888888888889 1
1 1
1 1
-0.13203463203463203 -0.22468354430379747
-0.17027027027027028 -0.14383561643835616
-0.05017921146953405 -0.30303030303030304
-0.08333333333333333 -0.19230769230769232
-0.2 1
0.16666666666666666 1
-0.25 1
-0.2891566265060241 -0.4523809523809524
1 1
1 1
1 1
1 1
-0.9375 1
-0.9090909090909091 1
1 1
-0.9375 1
1 1
-0.927536231884058 1
-0.4230769230769231 1
1 1
-0.21428571428571427 1
-0.16244725738396623 1
1 1
-0.75 1
1 1
-0.875 1
1 1
1 1
-0.20394736842105263 1
1 1
-0.47701149425287354 1
1 1
-0.12337662337662338 -0.9305555555555556
-0.125 -0.19642857142857142
-0.2608695652173913 1
1 1
1 1
-0.5 1
-0.15416666666666667 -0.9411764705882353
0.0 1
1 1
-0.29069767441860467 1
1 1
-0.32936507936507936 1
-0.24691358024691357 -0.32098765432098764
1 1
-0.9375 1
-0.8275862068965517 1
-0.10327022375215146 1
-0.2901960784313726 1
-0.375 1
1 1
1 1
-0.9418604651162791 1
1 1
-0.16 1
-0.09782608695652174 1
-0.10035211267605634 1
-0.13291139240506328 -0.10227272727272728
1 1
-0.2857142857142857 -0.3333333333333333
1 1
-0.09722222222222222 -0.2125
0.0 0.0
-0.16 1
-0.056451612903225805 -0.1279317697228145
0.5 0.5
1 1
-0.20714285714285716 -0.9315068493150684
-0.1150278293135436 -0.9397590361445783
-0.44666666666666666 1
 
