Species,Sample,Number of cells
Euphorbia tithymaloides,EPM6,61
Euphorbia tithymaloides,EPM6,13
Euphorbia tithymaloides,EPM6,42
Euphorbia tithymaloides,EPM6,53
Euphorbia tithymaloides,EPM6,62
Euphorbia tithymaloides,EPM6,28
Euphorbia tithymaloides,EPM6,58
Euphorbia tithymaloides,EPM6,44
Euphorbia tithymaloides,EPM6,18
Euphorbia tithymaloides,EPM6,72
Euphorbia tithymaloides,EPM6,71
Euphorbia tithymaloides,EPM6,58
Euphorbia tithymaloides,EPM6,56
Euphorbia tithymaloides,EPM6,70
Euphorbia tithymaloides,EPM6,67
Euphorbia tithymaloides,EPM6,50
Euphorbia tithymaloides,EPM6,65
Euphorbia tithymaloides,EPM6,64
Euphorbia tithymaloides,EPM6,68
Euphorbia tithymaloides,EPM6,39
Euphorbia tithymaloides,EPM6,63
Euphorbia tithymaloides,EPM6,58
Euphorbia tithymaloides,EPM6,66
Euphorbia tithymaloides,EPM6,41
Euphorbia tithymaloides,EPM6,68
Euphorbia tithymaloides,EPM6,44
Euphorbia tithymaloides,EPM6,65
Euphorbia tithymaloides,EPM6,55
Euphorbia tithymaloides,EPM6,67
Euphorbia tithymaloides,EPM6,44
Euphorbia tithymaloides,EPM6,58
Euphorbia tithymaloides,EPM6,73
Euphorbia tithymaloides,EPM6,40
Euphorbia tithymaloides,EPM6,68
Euphorbia tithymaloides,EPM6,31
Euphorbia tithymaloides,EPM6,7
Euphorbia tithymaloides,EPM6,38
Euphorbia tithymaloides,EPM6,58
Euphorbia tithymaloides,EPM6,62
Euphorbia tithymaloides,EPM6,11
Euphorbia tithymaloides,EPM6,33
Euphorbia tithymaloides,EPM6,58
Euphorbia tithymaloides,EPM6,54
Euphorbia tithymaloides,EPM6,47
Euphorbia tithymaloides,EPM6,55
Euphorbia tithymaloides,EPM6,8
Euphorbia tithymaloides,EPM6,23
Euphorbia tithymaloides,EPM6,51
Euphorbia tithymaloides,EPM6,34
Euphorbia tithymaloides,EPM6,48
Euphorbia tithymaloides,EPM6,34
Euphorbia tithymaloides,EPM6,66
Euphorbia tithymaloides,EPM6,26
Euphorbia tithymaloides,EPM6,56
Euphorbia tithymaloides,EPM6,60
Euphorbia tithymaloides,EPM6,31
Euphorbia tithymaloides,EPM6,38
Euphorbia tithymaloides,EPM6,67
Euphorbia tithymaloides,EPM6,18
Euphorbia tithymaloides,EPM6,22
Euphorbia tithymaloides,EPM6,51
Euphorbia tithymaloides,EPM6,38
Euphorbia tithymaloides,EPM6,67
Euphorbia tithymaloides,EPM6,65
Euphorbia tithymaloides,EPM6,8
Euphorbia tithymaloides,EPM6,42
Euphorbia tithymaloides,EPM6,72
Euphorbia tithymaloides,EPM6,15
Euphorbia tithymaloides,EPM6,31
Euphorbia tithymaloides,EPM6,29
Euphorbia tithymaloides,EPM6,33
Euphorbia tithymaloides,EPM6,66
Euphorbia tithymaloides,EPM6,52
Euphorbia tithymaloides,EPM6,24
Euphorbia tithymaloides,EPM6,48
Euphorbia tithymaloides,EPM6,61
Euphorbia tithymaloides,EPM6,26
Euphorbia tithymaloides,EPM6,39
Euphorbia tithymaloides,EPM6,66
Euphorbia tithymaloides,EPM6,21
Euphorbia tithymaloides,EPM6,33
Euphorbia tithymaloides,EPM6,44
Euphorbia tithymaloides,EPM6,47
Euphorbia tithymaloides,EPM6,51
Euphorbia tithymaloides,EPM6,16
Euphorbia tithymaloides,EPM6,51
Euphorbia tithymaloides,EPM6,46
Euphorbia tithymaloides,EPM6,42
Euphorbia tithymaloides,EPM6,58
Euphorbia tithymaloides,EPM6,67
Euphorbia tithymaloides,EPM6,54
Euphorbia tithymaloides,EPM6,46
Euphorbia tithymaloides,EPM6,44
Euphorbia tithymaloides,EPM6,69
Euphorbia tithymaloides,EPM6,40
Euphorbia tithymaloides,EPM6,70
Euphorbia tithymaloides,EPM6,24
Euphorbia tithymaloides,EPM6,32
Euphorbia tithymaloides,EPM6,68
Euphorbia tithymaloides,EPM6,44
Euphorbia tithymaloides,EPM6,24
Euphorbia tithymaloides,EPM6,44
Euphorbia tithymaloides,EPM6,67
Euphorbia tithymaloides,EPM6,51
Euphorbia tithymaloides,EPM6,43
Euphorbia tithymaloides,EPM6,40
Euphorbia tithymaloides,EPM6,65
Euphorbia tithymaloides,EPM6,62
Euphorbia tithymaloides,EPM6,65
Euphorbia tithymaloides,EPM6,69
Euphorbia tithymaloides,EPM6,47
Euphorbia tithymaloides,EPM6,41
Euphorbia tithymaloides,EPM6,67
Euphorbia tithymaloides,EPM6,41
Euphorbia tithymaloides,EPM6,36
Euphorbia tithymaloides,EPM6,24
Euphorbia tithymaloides,EPM6,23
Euphorbia tithymaloides,EPM6,58
Euphorbia tithymaloides,EPM6,39
Euphorbia tithymaloides,EPM6,43
Euphorbia tithymaloides,EPM6,61
Euphorbia tithymaloides,EPM6,62
Euphorbia tithymaloides,EPM6,59
Euphorbia tithymaloides,EPM6,23
Euphorbia tithymaloides,EPM6,29
Euphorbia tithymaloides,EPM6,61
Euphorbia tithymaloides,EPM6,24
Euphorbia tithymaloides,EPM6,44
Euphorbia tithymaloides,EPM6,23
Euphorbia tithymaloides,EPM6,14
Euphorbia tithymaloides,EPM6,42
Euphorbia tithymaloides,EPM6,37
Euphorbia tithymaloides,EPM6,63
Euphorbia tithymaloides,EPM6,53
Euphorbia tithymaloides,EPM6,30
Euphorbia tithymaloides,EPM6,4
Euphorbia tithymaloides,EPM6,51
Euphorbia tithymaloides,EPM6,38
Euphorbia tithymaloides,EPM6,66
Euphorbia tithymaloides,EPM6,14
Euphorbia tithymaloides,EPM6,61
Euphorbia tithymaloides,EPM6,3
Euphorbia tithymaloides,EPM6,64
Euphorbia tithymaloides,EPM6,33
Euphorbia tithymaloides,EPM6,47
Euphorbia tithymaloides,EPM6,68
Euphorbia tithymaloides,EPM6,103
Euphorbia tithymaloides,EPM6,41
Euphorbia tithymaloides,EPM6,26
