Genero,especie,Muestra,stem_diameter(mm),stem_length_m,vessel_diameter,vessel_length,vessel_grouping,vessel_wall_thickness,V-V-vessel-vessel (intervascular) pit diam aperture,V-P-vessel-parenchyma (intervascular) pit diam cav,V-V-vessel-vessel (intervascular) pit diam aperture,V-P-vessel-parenchyma (intervascular) pit diam cav,vesse_density(v/mm2),conductive_area
Euphorbia,bracteata,845,24.97,2.5,41.145,254.063,1.52,2.36,3.353,4.225,7.15,8.819,16.537,2.199
Euphorbia,cymbifera,979,5.53,0.5,16.62,369.625,1.25,2.038,3.166,4.981,5.538,7.156,80.691,2.238
Euphorbia,diazlunana,898,16.822,0.8,31.463,334.854,1.55,2.344,3.469,3.041,7.828,7.488,20.01,1.556
Euphorbia,lomelli,854,12.1,0.7,26.5,378.086,1.825,2.213,6.678,6.859,9.438,9.125,35.161,1.94
Euphorbia,personata,955,13.88,1.8,34.613,487.364,1.1,1.588,4.294,4.65,6.563,6.788,14.293,1.345
Euphorbia,tehuacana,981,24.45,2,27.4,280.595,2.9,2.125,4.731,5.775,7.156,8.541,15.411,0.909
Euphorbia,tithymaloides,947,15.376,1.6,39.668,474.563,1.625,2.175,4.263,7.344,8.428,11.828,18.789,2.322
Euphorbia,cyri,973,30.7,3,37.923,349.188,1.875,2.638,8.206,7.619,12.313,11.856,28.95,3.27
Euphorbia,calcarata,806,20.63,3,56.394,566.738,2.25,1.875,4.413,8.484,8.484,8.863,27.105,6.77
Euphorbia,calcarata,892,24.438,1.5,51.553,601.673,3,3.05,4.116,8.331,8.331,8.813,20.348,4.247
Euphorbia,coalcomanensis,883,48,3,74.16,375.219,1.6,2.863,6.05,9.05,9.05,11.525,8.777,3.791
Euphorbia,colligata,867,28.85,1.7,58.017,477.625,3.525,3.825,4.813,8.35,8.35,8.65,12.862,3.4
Euphorbia,finkii,917,17.46,2.5,31.381,405.902,2.275,2.238,2.597,6.663,6.663,6.663,22.921,1.773
Euphorbia,peritropoides,840,21.806,2,38.633,429,1.8,2.719,3.469,7.694,9.013,9.013,30.925,3.625
Euphorbia,conzattii,971,29.33,2.5,25.406,380.063,3.125,2.13,4.459,7.95,7.475,7.475,18.191,0.922
